cultivo_nombre,anio,departamento_nombre,coords,organic_carbon,ph,clay,silt,sand,Nino_lag1,Nino_lag2,Nino_lag3,Nino_lag4,Nino_lag5,Nino_lag6,Nino_lag7,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
cebada,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,0,0,0,0,1,1,1,900.0,500.0,480.0,960.0
cebada,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,0,0,0,0,1,1,1,160.0,70.0,75.0,1071.0
girasol,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,1,1,1,1,1,1,1,21000.0,21000.0,23100.0,1100.0
girasol,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,1,1,1,1,1,1,1,1100.0,1100.0,990.0,900.0
soja,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,1,1,1,1,1,1,1,4100.0,4100.0,6900.0,1683.0
soja,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,1,1,1,1,1,1,1,5400.0,5400.0,9600.0,1778.0
trigo,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,0,0,0,0,1,1,1,30000.0,30000.0,60000.0,2000.0
trigo,1983,25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244,0,0,0,0,1,1,1,100.0,100.0,95.0,950.0
cebada,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,0,0,0,0,1,1,1,1200.0,900.0,1780.0,1978.0
cebada,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,0,0,0,0,1,1,1,50.0,0.0,0.0,0.0
cebada,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,0,0,0,0,1,1,1,800.0,0.0,0.0,0.0
girasol,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,1,1,1,1,1,1,1,12000.0,10000.0,10000.0,1000.0
girasol,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,1,1,1,1,1,1,1,6000.0,3700.0,3290.0,889.0
girasol,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,1,1,1,1,1,1,1,3500.0,3000.0,2600.0,867.0
soja,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,1,1,1,1,1,1,1,9200.0,9200.0,20900.0,2272.0
soja,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,1,1,1,1,1,1,1,100.0,100.0,130.0,1300.0
soja,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,1,1,1,1,1,1,1,3000.0,3000.0,4800.0,1600.0
trigo,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,0,0,0,0,1,1,1,50000.0,50000.0,120000.0,2400.0
trigo,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,0,0,0,0,1,1,1,500.0,450.0,450.0,1000.0
trigo,1983,9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103,0,0,0,0,1,1,1,2500.0,2300.0,3030.0,1317.0
cebada,1983,Adolfo Alsina,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855,0,0,0,0,1,1,1,6000.0,2000.0,3000.0,1500.0
cebada,1983,Adolfo Alsina,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855,0,0,0,0,1,1,1,620.0,242.0,194.0,802.0
girasol,1983,Adolfo Alsina,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855,1,1,1,1,1,1,1,25000.0,24500.0,24500.0,1000.0
trigo,1983,Adolfo Alsina,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855,0,0,0,0,1,1,1,123000.0,119000.0,214200.0,1800.0
trigo,1983,Adolfo Alsina,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855,0,0,0,0,1,1,1,2500.0,2500.0,7640.0,3056.0
cebada,1983,Adolfo Gonzales Chaves,"(-60.29572520000001, -37.957004132)",13.96,8.14,33.8,30.8,35.6,0,0,0,0,1,1,1,2000.0,1000.0,2000.0,2000.0
girasol,1983,Adolfo Gonzales Chaves,"(-60.29572520000001, -37.957004132)",13.96,8.14,33.8,30.8,35.6,1,1,1,1,1,1,1,17000.0,17000.0,15300.0,900.0
soja,1983,Adolfo Gonzales Chaves,"(-60.29572520000001, -37.957004132)",13.96,8.14,33.8,30.8,35.6,1,1,1,1,1,1,1,50.0,50.0,90.0,1800.0
trigo,1983,Adolfo Gonzales Chaves,"(-60.29572520000001, -37.957004132)",13.96,8.14,33.8,30.8,35.6,0,0,0,0,1,1,1,77000.0,77000.0,152600.0,1982.0
trigo,1983,Aguirre,"(-62.49596035714285, -29.32109964285715)",10.228571428571428,,28.454545454545453,49.81818181818182,21.818181818181817,0,0,0,0,1,1,1,196.0,196.0,235.0,1199.0
cebada,1983,Albardón,"(-68.3878, -31.2156)",1.4,8.45,8.0,4.5,87.5,0,0,0,0,1,1,1,35.0,0.0,0.0,0.0
girasol,1983,Alberdi,"(-62.19813817030304, -26.533770666666666)",10.55,7.025714285714286,15.181818181818182,49.93939393939394,34.84848484848485,1,1,1,1,1,1,1,300.0,300.0,240.0,800.0
trigo,1983,Alberdi,"(-62.19813817030304, -26.533770666666666)",10.55,7.025714285714286,15.181818181818182,49.93939393939394,34.84848484848485,0,0,0,0,1,1,1,79.0,79.0,95.0,1203.0
cebada,1983,Alberti,"(-60.38884175, -34.98288008437499)",10.24375,6.629,21.09090909090909,34.90909090909091,44.09090909090909,0,0,0,0,1,1,1,2000.0,0.0,0.0,0.0
girasol,1983,Alberti,"(-60.38884175, -34.98288008437499)",10.24375,6.629,21.09090909090909,34.90909090909091,44.09090909090909,1,1,1,1,1,1,1,8500.0,8500.0,9350.0,1100.0
soja,1983,Alberti,"(-60.38884175, -34.98288008437499)",10.24375,6.629,21.09090909090909,34.90909090909091,44.09090909090909,1,1,1,1,1,1,1,11600.0,11600.0,23500.0,2026.0
trigo,1983,Alberti,"(-60.38884175, -34.98288008437499)",10.24375,6.629,21.09090909090909,34.90909090909091,44.09090909090909,0,0,0,0,1,1,1,30000.0,30000.0,69000.0,2300.0
cebada,1983,Andalgalá,"(-66.05, -27.6)",1.0,8.3,2.0,30.75,67.25,0,0,0,0,1,1,1,50.0,0.0,0.0,0.0
cebada,1983,Anta,"(-64.11701215658371, -25.041284130462575)",7.364412811387901,7.337142857142857,22.23487544483985,41.99288256227758,36.4963768115942,0,0,0,0,1,1,1,200.0,0.0,0.0,0.0
soja,1983,Anta,"(-64.11701215658371, -25.041284130462575)",7.364412811387901,7.337142857142857,22.23487544483985,41.99288256227758,36.4963768115942,1,1,1,1,1,1,1,26000.0,25600.0,56000.0,2188.0
trigo,1983,Anta,"(-64.11701215658371, -25.041284130462575)",7.364412811387901,7.337142857142857,22.23487544483985,41.99288256227758,36.4963768115942,0,0,0,0,1,1,1,2700.0,2630.0,6100.0,2319.0
soja,1983,Apóstoles,"(-55.72893340909093, -27.928929136363628)",20.331818181818186,4.968999999999999,61.38095238095238,27.33333333333333,11.38095238095238,1,1,1,1,1,1,1,520.0,520.0,800.0,1538.0
cebada,1983,Arrecifes,"(-60.05501823014284, -33.99178255571427)",8.405755395683453,7.063214285714285,29.40944881889764,58.24409448818898,12.48031496062992,0,0,0,0,1,1,1,100.0,0.0,0.0,0.0
girasol,1983,Arrecifes,"(-60.05501823014284, -33.99178255571427)",8.405755395683453,7.063214285714285,29.40944881889764,58.24409448818898,12.48031496062992,1,1,1,1,1,1,1,500.0,500.0,700.0,1400.0
soja,1983,Arrecifes,"(-60.05501823014284, -33.99178255571427)",8.405755395683453,7.063214285714285,29.40944881889764,58.24409448818898,12.48031496062992,1,1,1,1,1,1,1,32800.0,32700.0,83300.0,2547.0
trigo,1983,Arrecifes,"(-60.05501823014284, -33.99178255571427)",8.405755395683453,7.063214285714285,29.40944881889764,58.24409448818898,12.48031496062992,0,0,0,0,1,1,1,33000.0,31000.0,62000.0,2000.0
trigo,1983,Atamisqui,"(-64.01, -28.783333333333328)",7.633333333333334,6.6000000000000005,22.11111111111111,26.11111111111111,51.77777777777778,0,0,0,0,1,1,1,40.0,40.0,48.0,1200.0
cebada,1983,Atreucó,"(-63.695238142857136, -37.12619028571429)",4.871428571428572,7.266666666666667,12.666666666666666,19.0,68.33333333333333,0,0,0,0,1,1,1,340.0,220.0,256.0,1164.0
girasol,1983,Atreucó,"(-63.695238142857136, -37.12619028571429)",4.871428571428572,7.266666666666667,12.666666666666666,19.0,68.33333333333333,1,1,1,1,1,1,1,9000.0,8370.0,7533.0,900.0
