,cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha,coords,organic_carbon,ph,clay,silt,sand
0,Ajo,1983,25 de Mayo,80.0,80.0,450.0,5625.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
1,Algodón,1983,25 de Mayo,14000.0,14000.0,18000.0,1286.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
2,Algodón,1983,25 de Mayo,150.0,128.0,75.0,586.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
3,Algodón,1983,25 de Mayo,550.0,400.0,480.0,1200.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
4,Avena,1983,25 de Mayo,6100.0,2000.0,2300.0,1150.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
5,Caña de azúcar,1983,25 de Mayo,45.0,39.0,819.0,21000.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
6,Cebada cervecera,1983,25 de Mayo,400.0,400.0,360.0,900.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
7,Cebada forrajera,1983,25 de Mayo,500.0,100.0,120.0,1200.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
8,Cebada forrajera,1983,25 de Mayo,160.0,70.0,75.0,1071.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
9,Cebolla total,1983,25 de Mayo,2.0,0.0,0.0,0.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
10,Cebolla total,1983,25 de Mayo,390.0,390.0,10160.0,26051.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
11,Centeno,1983,25 de Mayo,100.0,0.0,0.0,0.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
