"lagos";"provincia";"interjurisdiccionalidad";"superficie_en_km2";"volumen_en_hm3";"profundidad_maxima_en_metros";"profundidad_media_en_metros"
"Epecuen";"Buenos Aires";"";"160.3";"1127";"10.5";"7"
"Cholila";"Chubut";"";"17.5";"850";"108";"48.5"
"Colhue Huapi";"Chubut";"";"810";"1620";"5.5";"2"
"Epuyen";"Chubut";"";"17.4";"1608";"148";"92.4"
"Fontana";"Chubut";"";"81.5";"6439";"";"79"
"Futalaufquen";"Chubut";"";"44.6";"4510";"168";"101"
"La Plata";"Chubut";"";"76";"7372";"";"97"
"Menendez";"Chubut";"";"55.7";"8310";"287";"149.1"
"Musters";"Chubut";"";"414";"8280";"38.5";"20"
"Pico N1";"Chubut";"";"12";"490";"";"41"
"Puelo";"Chubut";"";"44";"4902";"180";"111.4"
"Rivadavia";"Chubut";"";"21.7";"2250";"147.2";"103.7"
"Rosario";"Chubut";"";"14.5";"361";"57.4";"24.9"
"Alumine";"Neuquen";"";"57";"3956";"165";"69.4"
"Huechulaufquen";"Neuquen";"";"78.2";"11104";"";"142"
"Lacar";"Neuquen";"";"49";"8134";"277";"166"
"Quillen";"Neuquen";"";"23";"1357";"155";"59"
"Traful";"Neuquen";"";"70";"";"";""
"Nahuel Huapi";"Neuquen y Rio Negro";"";"557";"87449";"464";"157"
"Gutierrez";"Rio Negro";"";"16.4";"1307";"111.2";"79.7"
"Mascardi";"Rio Negro";"";"39.2";"4351";"218";"111"
"Pellegrini";"Rio Negro";"";"112";"1053";"18";"9.4"
"Argentino";"Santa Cruz";"";"1466";"219900";"500";"150"
"Buenos Aires";"Santa Cruz";"compartido con Chile";"881";"";"";""
"Cardiel";"Santa Cruz";"";"460";"22604";"";"49.1"
"Posadas";"Santa Cruz";"";"45.3";"1413";"";"31.2"
"Pueyrredon";"Santa Cruz";"compartido con Chile";"98";"";"";""
"San Martin";"Santa Cruz";"compartido con Chile";"551";"";"";""
"Strobel";"Santa Cruz";"";"120";"";"";""
"Viedma";"Santa Cruz";"";"1088";"";"";""
"Fagnano";"Tierra del Fuego";"compartido con Chile";"580";"46806";"80.7";""
"Yehuin";"Tierra del Fuego";"";"43";"1857";"";"42.7"
