id_pais;nom_pais;formato_imagen;fecha;direccion_web
32;Argentina;TIFF;Periodo 29/03/2018 al 13/03/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2018089.zip
32;Argentina;TIFF;Periodo 13/03/2018 al 28/03/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2018073.zip
32;Argentina;TIFF;Periodo 26/02/2018 al 12/03/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2018057.zip
32;Argentina;TIFF;Periodo 10/02/2018 al 25/02/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2018041.zip
32;Argentina;TIFF;Periodo 25/01/2018 al 09/02/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2018025.zip
32;Argentina;TIFF;Periodo 09/01/2018 al 24/01/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2018009.zip
32;Argentina;TIFF;Periodo 26/12/2017 al 08/01/2018;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2017361.zip
32;Argentina;TIFF;Periodo 10/12/2017 al 25/12/2017;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2017345.zip
32;Argentina;TIFF;Periodo 24/11/2017 al 09/12/2017;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2017329.zip
32;Argentina;TIFF;Periodo 08/11/2017 al 23/11/2017;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2017313.zip
32;Argentina;TIFF;Periodo 24/10/2017 al 07/11/2017;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2017297.zip
32;Argentina;TIFF;Periodo 07/10/2017 al 23/11/2017;http://www.ora.gob.ar/datosabiertos/TVDI/TVDI-2017281.zip
