cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
cebada forrajera,1938,1938/1939,Buenos Aires,06,Adolfo Alsina,06007,10000,10000,6000,600
cebada forrajera,1938,1938/1939,Buenos Aires,06,Adolfo Gonzales Chaves,06014,8000,5500,4960,901.82
cebada forrajera,1938,1938/1939,Buenos Aires,06,Alberti,06021,300,250,430,1720
cebada forrajera,1938,1938/1939,Buenos Aires,06,Almirante Brown,06028,80,0,0,0
cebada forrajera,1938,1938/1939,Buenos Aires,06,Ayacucho,06042,1000,700,902,1288.57
cebada forrajera,1938,1938/1939,Buenos Aires,06,Azul,06049,3000,2300,2310,1004.35
cebada forrajera,1938,1938/1939,Buenos Aires,06,Bah�a Blanca,06056,5500,1500,680,453.33
cebada forrajera,1938,1938/1939,Buenos Aires,06,Balcarce,06063,2000,1400,2040,1457.14
cebada forrajera,1938,1938/1939,Buenos Aires,06,Baradero,06070,250,150,210,1400
cebada forrajera,1938,1938/1939,Buenos Aires,06,Bartolome Mitre,06077,500,300,465,1550
cebada forrajera,1938,1938/1939,Buenos Aires,06,Benito Ju�rez,06084,5000,3000,3450,1150
cebada forrajera,1938,1938/1939,Buenos Aires,06,Bol�var,06105,4200,2900,4560,1572.41
cebada forrajera,1938,1938/1939,Buenos Aires,06,Bragado,06112,1000,900,1269,1410
cebada forrajera,1938,1938/1939,Buenos Aires,06,Brandsen,06119,100,100,95,950
cebada forrajera,1938,1938/1939,Buenos Aires,06,Campana,06126,200,40,64,1600
cebada forrajera,1938,1938/1939,Buenos Aires,06,Ca�uelas,06134,650,450,405,900
cebada forrajera,1938,1938/1939,Buenos Aires,06,Carlos Casares,06147,2500,1500,2250,1500
cebada forrajera,1938,1938/1939,Buenos Aires,06,Carlos Tejedor,06154,2000,1500,1500,1000
cebada forrajera,1938,1938/1939,Buenos Aires,06,Carmen de Areco,06161,500,400,608,1520
cebada forrajera,1938,1938/1939,Buenos Aires,06,Castelli,06168,100,100,100,1000
cebada forrajera,1938,1938/1939,Buenos Aires,06,Col�n,06175,170,170,245,1441.18
cebada forrajera,1938,1938/1939,Buenos Aires,06,Coronel Dorrego,06189,7500,7500,9450,1260
cebada forrajera,1938,1938/1939,Buenos Aires,06,Coronel Pringles,06196,8000,4900,4094,835.51
cebada forrajera,1938,1938/1939,Buenos Aires,06,Coronel Su�rez,06203,8100,3700,3505,947.3
cebada forrajera,1938,1938/1939,Buenos Aires,06,Chacabuco,06210,1500,1200,1440,1200
cebada forrajera,1938,1938/1939,Buenos Aires,06,Chascom�s,06218,600,400,460,1150
cebada forrajera,1938,1938/1939,Buenos Aires,06,Chivilcoy,06224,400,300,330,1100
cebada forrajera,1938,1938/1939,Buenos Aires,06,Dolores,06238,100,100,80,800
cebada forrajera,1938,1938/1939,Buenos Aires,06,Esteban Echeverr�a,06260,200,150,180,1200
cebada forrajera,1938,1938/1939,Buenos Aires,06,Exaltaci�n de la Cruz,06266,500,450,540,1200
cebada forrajera,1938,1938/1939,Buenos Aires,06,Florencio Varela,06274,100,70,56,800
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Alvarado,06280,500,350,259,740
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Alvear,06287,3700,2900,2650,913.79
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Arenales,06294,240,240,348,1450
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Belgrano,06301,350,200,200,1000
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Guido,06308,100,100,81,810
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Juan Madariaga,06315,240,190,190,1000
cebada forrajera,1938,1938/1939,Buenos Aires,06,General La Madrid,06322,2200,1300,2400,1846.15
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Las Heras,06329,400,250,275,1100
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Paz,06343,400,380,475,1250
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Pinto,06351,2600,2500,1800,720
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Pueyrred�n,06357,800,650,793,1220
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Rodr�guez,06364,50,0,0,0
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Viamonte,06385,700,650,812,1249.23
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Villegas,06392,3000,2000,900,450
cebada forrajera,1938,1938/1939,Buenos Aires,06,Guamin�,06399,4400,2500,2908,1163.2
cebada forrajera,1938,1938/1939,Buenos Aires,06,General Sarmiento,06412,200,50,65,1300
cebada forrajera,1938,1938/1939,Buenos Aires,06,Jun�n,06413,880,880,1276,1450
cebada forrajera,1938,1938/1939,Buenos Aires,06,Matanza,06427,50,0,0,0
cebada forrajera,1938,1938/1939,Buenos Aires,06,La Plata,06441,600,300,360,1200
cebada forrajera,1938,1938/1939,Buenos Aires,06,Laprida,06448,1000,600,400,666.67
cebada forrajera,1938,1938/1939,Buenos Aires,06,Las Flores,06455,1100,800,1797,2246.25
cebada forrajera,1938,1938/1939,Buenos Aires,06,Leandro N. Alem,06462,570,570,1150,2017.54
cebada forrajera,1938,1938/1939,Buenos Aires,06,Lincoln,06469,2000,2000,2858,1429
cebada forrajera,1938,1938/1939,Buenos Aires,06,Lober�a,06476,3000,2000,1400,700
cebada forrajera,1938,1938/1939,Buenos Aires,06,Lobos,06483,1200,1000,1600,1600
cebada forrajera,1938,1938/1939,Buenos Aires,06,Lomas de Zamora,06490,10,0,0,0
cebada forrajera,1938,1938/1939,Buenos Aires,06,Luj�n,06497,400,300,375,1250
cebada forrajera,1938,1938/1939,Buenos Aires,06,Magdalena,06505,300,200,140,700
cebada forrajera,1938,1938/1939,Buenos Aires,06,Maip�,06511,100,100,80,800
cebada forrajera,1938,1938/1939,Buenos Aires,06,Mar Chiquita,06518,600,400,422,1055
cebada forrajera,1938,1938/1939,Buenos Aires,06,Marcos Paz,06525,114,44,48,1090.91
cebada forrajera,1938,1938/1939,Buenos Aires,06,Mercedes,06532,200,200,320,1600
cebada forrajera,1938,1938/1939,Buenos Aires,06,Merlo,06539,100,50,45,900
cebada forrajera,1938,1938/1939,Buenos Aires,06,Monte,06547,300,200,180,900
cebada forrajera,1938,1938/1939,Buenos Aires,06,Moreno,06560,150,100,120,1200
cebada forrajera,1938,1938/1939,Buenos Aires,06,Navarro,06574,500,350,633,1808.57
cebada forrajera,1938,1938/1939,Buenos Aires,06,Necochea,06581,15000,10000,7930,793
cebada forrajera,1938,1938/1939,Buenos Aires,06,9 de Julio,06588,1500,1200,1368,1140
cebada forrajera,1938,1938/1939,Buenos Aires,06,Olavarr�a,06595,2200,1500,2448,1632
cebada forrajera,1938,1938/1939,Buenos Aires,06,Patagones,06602,5000,500,135,270
cebada forrajera,1938,1938/1939,Buenos Aires,06,Pehuaj�,06609,3000,2000,2400,1200
cebada forrajera,1938,1938/1939,Buenos Aires,06,Pergamino,06623,460,460,561,1219.57
cebada forrajera,1938,1938/1939,Buenos Aires,06,Pila,06630,60,45,49,1088.89
cebada forrajera,1938,1938/1939,Buenos Aires,06,Pilar,06638,300,100,105,1050
cebada forrajera,1938,1938/1939,Buenos Aires,06,Pu�n,06651,5000,5000,578,115.6
cebada forrajera,1938,1938/1939,Buenos Aires,06,Quilmes,06658,10,4,3,750
cebada forrajera,1938,1938/1939,Buenos Aires,06,Ramallo,06665,300,150,150,1000
cebada forrajera,1938,1938/1939,Buenos Aires,06,Rauch,06672,800,600,660,1100
cebada forrajera,1938,1938/1939,Buenos Aires,06,Rojas,06686,420,420,613,1459.52
cebada forrajera,1938,1938/1939,Buenos Aires,06,Roque P�rez,06693,1000,900,1188,1320
cebada forrajera,1938,1938/1939,Buenos Aires,06,Saavedra,06700,7000,7000,4800,685.71
cebada forrajera,1938,1938/1939,Buenos Aires,06,Saladillo,06707,2500,1700,2380,1400
cebada forrajera,1938,1938/1939,Buenos Aires,06,Salto,06714,200,100,143,1430
cebada forrajera,1938,1938/1939,Buenos Aires,06,San Andr�s de Giles,06728,300,200,300,1500
cebada forrajera,1938,1938/1939,Buenos Aires,06,San Antonio de Areco,06735,200,50,51,1020
cebada forrajera,1938,1938/1939,Buenos Aires,06,San Nicol�s,06763,300,150,90,600
cebada forrajera,1938,1938/1939,Buenos Aires,06,San Pedro,06770,300,250,380,1520
cebada forrajera,1938,1938/1939,Buenos Aires,06,San Vicente,06778,80,40,40,1000
cebada forrajera,1938,1938/1939,Buenos Aires,06,Suipacha,06784,400,200,300,1500
cebada forrajera,1938,1938/1939,Buenos Aires,06,Tandil,06791,3500,3000,4200,1400
cebada forrajera,1938,1938/1939,Buenos Aires,06,Tapalqu�,06798,2300,2200,2508,1140
cebada forrajera,1938,1938/1939,Buenos Aires,06,Las Conchas,06805,20,0,0,0
cebada forrajera,1938,1938/1939,Buenos Aires,06,Tornquist,06819,6800,2500,800,320
cebada forrajera,1938,1938/1939,Buenos Aires,06,Trenque Lauquen,06826,5500,2000,1400,700
cebada forrajera,1938,1938/1939,Buenos Aires,06,Tres Arroyos,06833,20000,14000,11885,848.93
cebada forrajera,1938,1938/1939,Buenos Aires,06,Caseros,06840,4300,2800,2034,726.43
cebada forrajera,1938,1938/1939,Buenos Aires,06,25 de Mayo,06854,3000,2400,3562,1484.17
cebada forrajera,1938,1938/1939,Buenos Aires,06,Villarino,06875,9000,500,220,440
cebada forrajera,1938,1938/1939,Buenos Aires,06,Z�rate,06882,200,150,211,1406.67
cebada forrajera,1938,1938/1939,Catamarca,10,Ambato,10007,15,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Ancasti,10014,10,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Andalgal�,10021,80,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Bel�n,10035,100,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Capay�n,10042,50,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Capital,10049,100,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,El Alto,10056,30,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Fray Mamerto Esqui�,10063,110,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,La Paz,10070,15,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Pacl�n,10077,35,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Pom�n,10084,30,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Santa Mar�a,10091,100,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Santa Rosa,10098,50,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Tinogasta,10105,200,0,0,0
cebada forrajera,1938,1938/1939,Catamarca,10,Valle Viejo,10112,75,0,0,0
cebada forrajera,1938,1938/1939,C�rdoba,14,Calamuchita,14007,100,80,65,812.5
cebada forrajera,1938,1938/1939,C�rdoba,14,General Belgrano,14007,1700,1100,1012,920
cebada forrajera,1938,1938/1939,C�rdoba,14,Capital,14014,200,100,120,1200
cebada forrajera,1938,1938/1939,C�rdoba,14,Col�n,14021,450,110,60,545.45
cebada forrajera,1938,1938/1939,C�rdoba,14,Cruz del Eje,14028,200,20,10,500
cebada forrajera,1938,1938/1939,C�rdoba,14,General Roca,14035,7150,4650,2790,600
cebada forrajera,1938,1938/1939,C�rdoba,14,General San Mart�n,14042,2000,1000,850,850
cebada forrajera,1938,1938/1939,C�rdoba,14,Ischil�n,14049,200,20,10,500
cebada forrajera,1938,1938/1939,C�rdoba,14,Ju�rez Celman,14056,6700,2700,2130,788.89
cebada forrajera,1938,1938/1939,C�rdoba,14,Marcos Ju�rez,14063,2800,1000,1010,1010
cebada forrajera,1938,1938/1939,C�rdoba,14,Minas,14070,60,20,10,500
cebada forrajera,1938,1938/1939,C�rdoba,14,Pocho,14077,60,20,10,500
cebada forrajera,1938,1938/1939,C�rdoba,14,Presidente Roque S�enz Pe�a,14084,4000,1000,600,600
cebada forrajera,1938,1938/1939,C�rdoba,14,Punilla,14091,60,10,4,400
cebada forrajera,1938,1938/1939,C�rdoba,14,R�o Cuarto,14098,2500,2200,1910,868.18
cebada forrajera,1938,1938/1939,C�rdoba,14,R�o Primero,14105,700,500,260,520
cebada forrajera,1938,1938/1939,C�rdoba,14,R�o Seco,14112,100,40,20,500
cebada forrajera,1938,1938/1939,C�rdoba,14,R�o Segundo,14119,700,500,400,800
cebada forrajera,1938,1938/1939,C�rdoba,14,San Alberto,14126,250,50,20,400
cebada forrajera,1938,1938/1939,C�rdoba,14,San Javier,14133,500,100,52,520
cebada forrajera,1938,1938/1939,C�rdoba,14,San Justo,14140,2500,1800,1620,900
cebada forrajera,1938,1938/1939,C�rdoba,14,Santa Mar�a,14147,350,170,136,800
cebada forrajera,1938,1938/1939,C�rdoba,14,Sobremonte,14154,100,40,20,500
cebada forrajera,1938,1938/1939,C�rdoba,14,Totoral,14168,300,120,60,500
cebada forrajera,1938,1938/1939,C�rdoba,14,Tulumba,14175,400,80,40,500
cebada forrajera,1938,1938/1939,C�rdoba,14,Uni�n,14182,3000,2000,1840,920
cebada forrajera,1938,1938/1939,Corrientes,18,Curuzu Cuatia,18035,50,0,0,0
cebada forrajera,1938,1938/1939,Corrientes,18,Esquina,18049,200,0,0,0
cebada forrajera,1938,1938/1939,Corrientes,18,Goya,18070,20,0,0,0
cebada forrajera,1938,1938/1939,Corrientes,18,Mercedes,18105,80,0,0,0
