cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
cebada,1938,1938/1939,Buenos Aires,06,25 de Mayo,06854,3500,2800,3852,1376
cebada,1938,1938/1939,Buenos Aires,06,9 de Julio,06588,2000,1600,1968,1230
cebada,1938,1938/1939,Buenos Aires,06,Adolfo Alsina,06007,50000,38000,22800,600
cebada,1938,1938/1939,Buenos Aires,06,Adolfo Gonzales Chaves,06014,38000,28000,22960,820
cebada,1938,1938/1939,Buenos Aires,06,Alberti,06021,300,250,430,1720
cebada,1938,1938/1939,Buenos Aires,06,Almirante Brown,06028,80,0,0,0
cebada,1938,1938/1939,Buenos Aires,06,Arrecifes,06077,500,300,465,1550
cebada,1938,1938/1939,Buenos Aires,06,Ayacucho,06042,1500,1100,1342,1220
cebada,1938,1938/1939,Buenos Aires,06,Azul,06049,5000,3800,4560,1200
cebada,1938,1938/1939,Buenos Aires,06,Bahía Blanca,06056,10000,4000,1680,420
cebada,1938,1938/1939,Buenos Aires,06,Balcarce,06063,4600,3200,3840,1200
cebada,1938,1938/1939,Buenos Aires,06,Baradero,06070,250,150,210,1400
cebada,1938,1938/1939,Buenos Aires,06,Benito Juárez,06084,7000,5000,6050,1210
cebada,1938,1938/1939,Buenos Aires,06,Bolívar,06105,11500,9400,11160,1187
cebada,1938,1938/1939,Buenos Aires,06,Bragado,06112,1000,900,1269,1410
cebada,1938,1938/1939,Buenos Aires,06,Brandsen,06119,100,100,95,950
cebada,1938,1938/1939,Buenos Aires,06,Campana,06126,200,40,64,1600
cebada,1938,1938/1939,Buenos Aires,06,Cañuelas,06134,650,450,405,900
cebada,1938,1938/1939,Buenos Aires,06,Carlos Casares,06147,4500,3200,4800,1500
cebada,1938,1938/1939,Buenos Aires,06,Carlos Tejedor,06154,5000,4000,4000,1000
cebada,1938,1938/1939,Buenos Aires,06,Carmen de Areco,06161,500,400,608,1520
cebada,1938,1938/1939,Buenos Aires,06,Caseros,06840,8800,6700,7494,1119
cebada,1938,1938/1939,Buenos Aires,06,Castelli,06168,100,100,100,1000
cebada,1938,1938/1939,Buenos Aires,06,Chacabuco,06210,1500,1200,1440,1200
cebada,1938,1938/1939,Buenos Aires,06,Chascomús,06217,600,400,460,1150
cebada,1938,1938/1939,Buenos Aires,06,Chivilcoy,06224,400,300,330,1100
cebada,1938,1938/1939,Buenos Aires,06,Colón,06175,170,170,245,1441
cebada,1938,1938/1939,Buenos Aires,06,Coronel Dorrego,06189,35500,25500,17850,700
cebada,1938,1938/1939,Buenos Aires,06,Coronel Pringles,06196,24400,17400,14094,810
cebada,1938,1938/1939,Buenos Aires,06,Coronel Suárez,06203,33500,23500,24205,1030
cebada,1938,1938/1939,Buenos Aires,06,Dolores,06238,100,100,80,800
cebada,1938,1938/1939,Buenos Aires,06,Esteban Echeverría,06260,200,150,180,1200
cebada,1938,1938/1939,Buenos Aires,06,Exaltación de la Cruz,06266,500,450,540,1200
cebada,1938,1938/1939,Buenos Aires,06,Florencio Varela,06274,100,70,56,800
cebada,1938,1938/1939,Buenos Aires,06,General Alvarado,06280,1000,850,1009,1187
cebada,1938,1938/1939,Buenos Aires,06,General Alvear,06287,3700,2900,2650,914
cebada,1938,1938/1939,Buenos Aires,06,General Arenales,06294,240,240,348,1450
cebada,1938,1938/1939,Buenos Aires,06,General Belgrano,06301,350,200,200,1000
cebada,1938,1938/1939,Buenos Aires,06,General Juan Madariaga,06315,250,200,199,995
cebada,1938,1938/1939,Buenos Aires,06,General La Madrid,06322,10700,8400,8400,1000
cebada,1938,1938/1939,Buenos Aires,06,General Las Heras,06329,400,250,275,1100
cebada,1938,1938/1939,Buenos Aires,06,General Paz,06343,400,380,475,1250
cebada,1938,1938/1939,Buenos Aires,06,General Pinto,06351,3800,3300,3300,1000
cebada,1938,1938/1939,Buenos Aires,06,General Pueyrredón,06357,800,650,793,1220
cebada,1938,1938/1939,Buenos Aires,06,General Rodríguez,06364,50,0,0,0
cebada,1938,1938/1939,Buenos Aires,06,General Viamonte,06385,700,650,812,1249
cebada,1938,1938/1939,Buenos Aires,06,General Villegas,06392,5000,3500,2100,600
cebada,1938,1938/1939,Buenos Aires,06,Guaminí,06399,17800,13400,10988,820
cebada,1938,1938/1939,Buenos Aires,06,José C. Paz,06412,200,50,65,1300
cebada,1938,1938/1939,Buenos Aires,06,Junín,06413,880,880,1276,1450
cebada,1938,1938/1939,Buenos Aires,06,La Matanza,06427,50,0,0,0
cebada,1938,1938/1939,Buenos Aires,06,La Plata,06441,600,300,360,1200
cebada,1938,1938/1939,Buenos Aires,06,Laprida,06448,4000,3100,2480,800
cebada,1938,1938/1939,Buenos Aires,06,Las Conchas,06805,20,0,0,0
cebada,1938,1938/1939,Buenos Aires,06,Las Flores,06455,4000,3200,4160,1300
cebada,1938,1938/1939,Buenos Aires,06,Leandro N. Alem,06462,1030,1030,1854,1800
cebada,1938,1938/1939,Buenos Aires,06,Lincoln,06469,3200,2900,4118,1420
cebada,1938,1938/1939,Buenos Aires,06,Lobería,06476,18000,13000,9230,710
