cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
soja 1ra,2000,2000/01,Buenos Aires,06,Adolfo Alsina,06007,19800,19800,32900,1662
soja 1ra,2000,2000/01,Buenos Aires,06,Adolfo Gonzales Chaves,06014,19500,19500,27300,1400
soja 1ra,2000,2000/01,Buenos Aires,06,Alberti,06021,9000,7200,20200,2806
soja 1ra,2000,2000/01,Buenos Aires,06,Ayacucho,06042,1500,1450,2200,1517
soja 1ra,2000,2000/01,Buenos Aires,06,Azul,06049,39000,38200,70700,1851
soja 1ra,2000,2000/01,Buenos Aires,06,Balcarce,06063,18000,17600,31700,1801
soja 1ra,2000,2000/01,Buenos Aires,06,Baradero,06070,39000,39000,124800,3200
soja 1ra,2000,2000/01,Buenos Aires,06,Arrecifes,06077,54000,54000,167400,3100
soja 1ra,2000,2000/01,Buenos Aires,06,Benito Ju�rez,06084,16000,15650,26600,1700
soja 1ra,2000,2000/01,Buenos Aires,06,Bol�var,06105,20000,17000,30600,1800
soja 1ra,2000,2000/01,Buenos Aires,06,Bragado,06112,20000,16490,46200,2802
soja 1ra,2000,2000/01,Buenos Aires,06,Campana,06126,3700,3700,11100,3000
soja 1ra,2000,2000/01,Buenos Aires,06,Ca�uelas,06134,1080,1080,3500,3241
soja 1ra,2000,2000/01,Buenos Aires,06,Capit�n Sarmiento,06140,25000,25000,80000,3200
soja 1ra,2000,2000/01,Buenos Aires,06,Carlos Casares,06147,42000,40000,108000,2700
soja 1ra,2000,2000/01,Buenos Aires,06,Carlos Tejedor,06154,25500,24000,60000,2500
soja 1ra,2000,2000/01,Buenos Aires,06,Carmen de Areco,06161,16000,16000,51200,3200
soja 1ra,2000,2000/01,Buenos Aires,06,Castelli,06168,500,480,700,1458
soja 1ra,2000,2000/01,Buenos Aires,06,Col�n,06175,40000,40000,136000,3400
soja 1ra,2000,2000/01,Buenos Aires,06,Coronel Dorrego,06189,6500,6500,5900,908
soja 1ra,2000,2000/01,Buenos Aires,06,Coronel Pringles,06196,12000,12000,16800,1400
soja 1ra,2000,2000/01,Buenos Aires,06,Coronel Su�rez,06203,35000,34600,86500,2500
soja 1ra,2000,2000/01,Buenos Aires,06,Chacabuco,06210,34000,33500,100500,3000
soja 1ra,2000,2000/01,Buenos Aires,06,Chascom�s,06218,1440,1440,4600,3194
soja 1ra,2000,2000/01,Buenos Aires,06,Chivilcoy,06224,10000,8330,23300,2797
soja 1ra,2000,2000/01,Buenos Aires,06,Daireaux,06231,36250,36250,68900,1901
soja 1ra,2000,2000/01,Buenos Aires,06,Dolores,06238,500,480,700,1458
soja 1ra,2000,2000/01,Buenos Aires,06,Exaltaci�n de la Cruz,06266,8800,8800,26400,3000
soja 1ra,2000,2000/01,Buenos Aires,06,Florentino Ameghino,06277,16000,15500,43400,2800
soja 1ra,2000,2000/01,Buenos Aires,06,General Alvarado,06280,4000,3900,6800,1744
soja 1ra,2000,2000/01,Buenos Aires,06,General Alvear,06287,10000,9000,17100,1900
soja 1ra,2000,2000/01,Buenos Aires,06,General Arenales,06294,27000,26500,84800,3200
soja 1ra,2000,2000/01,Buenos Aires,06,General Belgrano,06301,1620,1620,5000,3086
