cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
soja 2da,2000,2000/01,Buenos Aires,06,Adolfo Gonzales Chaves,06014,2000,1600,1100,688
soja 2da,2000,2000/01,Buenos Aires,06,Alberti,06021,16000,13280,23904,1800
soja 2da,2000,2000/01,Buenos Aires,06,Baradero,06070,12500,12500,28800,2304
soja 2da,2000,2000/01,Buenos Aires,06,Arrecifes,06077,9500,9500,22800,2400
soja 2da,2000,2000/01,Buenos Aires,06,Bol�var,06105,5000,4000,5200,1300
soja 2da,2000,2000/01,Buenos Aires,06,Bragado,06112,42000,38640,61824,1600
soja 2da,2000,2000/01,Buenos Aires,06,Campana,06126,400,400,900,2250
soja 2da,2000,2000/01,Buenos Aires,06,Ca�uelas,06134,960,960,1700,1771
soja 2da,2000,2000/01,Buenos Aires,06,Capit�n Sarmiento,06140,8000,8000,19200,2400
soja 2da,2000,2000/01,Buenos Aires,06,Carlos Casares,06147,15000,14500,27600,1903
soja 2da,2000,2000/01,Buenos Aires,06,Carlos Tejedor,06154,9600,9000,15300,1700
soja 2da,2000,2000/01,Buenos Aires,06,Carmen de Areco,06161,5500,5300,12700,2396
soja 2da,2000,2000/01,Buenos Aires,06,Col�n,06175,13500,13500,33800,2504
soja 2da,2000,2000/01,Buenos Aires,06,Coronel Dorrego,06189,1000,1000,600,600
soja 2da,2000,2000/01,Buenos Aires,06,Coronel Pringles,06196,1000,800,500,625
soja 2da,2000,2000/01,Buenos Aires,06,Chacabuco,06210,45000,42000,84000,2000
soja 2da,2000,2000/01,Buenos Aires,06,Chascom�s,06218,1560,1410,2700,1915
soja 2da,2000,2000/01,Buenos Aires,06,Chivilcoy,06224,35000,31000,55800,1800
soja 2da,2000,2000/01,Buenos Aires,06,Daireaux,06231,1750,1750,2800,1600
soja 2da,2000,2000/01,Buenos Aires,06,Exaltaci�n de la Cruz,06266,1500,1500,3200,2133
soja 2da,2000,2000/01,Buenos Aires,06,Florentino Ameghino,06277,9000,6800,13600,2000
soja 2da,2000,2000/01,Buenos Aires,06,General Alvear,06287,1000,800,1200,1500
soja 2da,2000,2000/01,Buenos Aires,06,General Arenales,06294,42800,32800,72200,2201
soja 2da,2000,2000/01,Buenos Aires,06,General Belgrano,06301,1680,1680,3900,2321
soja 2da,2000,2000/01,Buenos Aires,06,General Pinto,06351,14000,11050,19900,1801
soja 2da,2000,2000/01,Buenos Aires,06,General Rodr�guez,06364,500,500,900,1800
soja 2da,2000,2000/01,Buenos Aires,06,General Viamonte,06385,30000,26700,58700,2199
soja 2da,2000,2000/01,Buenos Aires,06,General Villegas,06392,35000,31200,74900,2401
soja 2da,2000,2000/01,Buenos Aires,06,Hip�lito Yrigoyen,06406,2600,2100,2900,1381
soja 2da,2000,2000/01,Buenos Aires,06,Jun�n,06413,50000,47000,103400,2200
soja 2da,2000,2000/01,Buenos Aires,06,Laprida,06448,1200,1000,700,700
soja 2da,2000,2000/01,Buenos Aires,06,Leandro N. Alem,06462,13000,11000,19800,1800
soja 2da,2000,2000/01,Buenos Aires,06,Lincoln,06469,34000,31000,62000,2000
soja 2da,2000,2000/01,Buenos Aires,06,Lobos,06483,7440,6590,12500,1897
soja 2da,2000,2000/01,Buenos Aires,06,Luj�n,06497,3000,2800,5600,2000
soja 2da,2000,2000/01,Buenos Aires,06,Marcos Paz,06525,200,200,400,2000
soja 2da,2000,2000/01,Buenos Aires,06,Mercedes,06532,3200,3000,5400,1800
soja 2da,2000,2000/01,Buenos Aires,06,Monte,06547,1200,1200,2300,1917
soja 2da,2000,2000/01,Buenos Aires,06,Navarro,06574,5640,5080,10200,2008
soja 2da,2000,2000/01,Buenos Aires,06,Necochea,06581,1500,1200,800,667
soja 2da,2000,2000/01,Buenos Aires,06,9 de Julio,06588,25000,20000,34000,1700
soja 2da,2000,2000/01,Buenos Aires,06,Olavarr�a,06595,3500,3500,6000,1714
soja 2da,2000,2000/01,Buenos Aires,06,Pehuaj�,06609,15500,15000,31500,2100
soja 2da,2000,2000/01,Buenos Aires,06,Pergamino,06623,30000,30000,72000,2400
soja 2da,2000,2000/01,Buenos Aires,06,Pilar,06638,500,400,700,1750
soja 2da,2000,2000/01,Buenos Aires,06,Ramallo,06665,9000,9000,18000,2000
soja 2da,2000,2000/01,Buenos Aires,06,Rivadavia,06679,14700,14000,30800,2200
soja 2da,2000,2000/01,Buenos Aires,06,Rojas,06686,40000,39000,85800,2200
soja 2da,2000,2000/01,Buenos Aires,06,Roque P�rez,06693,5880,5280,9500,1799
soja 2da,2000,2000/01,Buenos Aires,06,Saladillo,06707,8640,7940,14300,1801
soja 2da,2000,2000/01,Buenos Aires,06,Salto,06714,21000,21000,50400,2400
soja 2da,2000,2000/01,Buenos Aires,06,San Andr�s de Giles,06728,10000,9800,19600,2000
soja 2da,2000,2000/01,Buenos Aires,06,San Antonio de Areco,06735,9000,9000,21600,2400
soja 2da,2000,2000/01,Buenos Aires,06,San Cayetano,06742,1500,1200,600,500
soja 2da,2000,2000/01,Buenos Aires,06,San Nicol�s,06763,4500,4500,10400,2311
soja 2da,2000,2000/01,Buenos Aires,06,San Pedro,06770,11500,11500,26500,2304
soja 2da,2000,2000/01,Buenos Aires,06,Suipacha,06784,4000,3800,6460,1700
soja 2da,2000,2000/01,Buenos Aires,06,Tapalqu�,06798,100,100,200,2000
soja 2da,2000,2000/01,Buenos Aires,06,Trenque Lauquen,06826,18600,18000,37800,2100
soja 2da,2000,2000/01,Buenos Aires,06,Tres Arroyos,06833,3500,2800,2000,714
soja 2da,2000,2000/01,Buenos Aires,06,25 de Mayo,06854,19680,16480,29700,1802
soja 2da,2000,2000/01,Buenos Aires,06,Z�rate,06882,3700,3700,8100,2189
soja 2da,2000,2000/01,Catamarca,10,El Alto,10056,11000,11000,30800,2800
soja 2da,2000,2000/01,Catamarca,10,Santa Rosa,10098,12000,12000,33600,2800
soja 2da,2000,2000/01,Chaco,22,Almirante Brown,22007,1710,1710,3591,2100
soja 2da,2000,2000/01,Chaco,22,Bermejo,22014,665,665,1330,2000
