layer_id,profile_identifier,layer_identifier,top,bottom,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
1,1,1,0,15,Ap,,0,0,22.08,0.21,1.11,6.22,44,39,17,
2,1,2,15,43,Bw,,0,0,20.16,0.17,0.67,6.5,46,41,13,
3,1,3,43,66,C1,,0,0,24.16,0.06,0.05,7.1,38,49,13,
4,1,4,66,100,C2,,0,0,19.52,0.05,0.05,7.11,34,51,15,
5,XJ1,XJ1-1,0,20,S/D,,,,,0.02,13.97,7.41,35,23,42,
6,XJ10,XJ10-1,0,20,S/D,,,,,0.05,13.34,6.58,33,37,30,
7,XJ14,XJ14-1,0,20,S/D,,,,,0.07,13.97,5.88,35,27,38,
8,XJ15,XJ15-1,0,20,S/D,,,,,0.06,13.52,7.79,33,21,46,
9,XJ16,XJ16-1,0,20,S/D,,,,,0.03,27.81,5.45,60,21,18,
10,xJ17,xJ17-1,0,20,S/D,,,,,0.05,15.49,5.78,33,34,34,
11,XJ2,XJ2-1,0,20,S/D,,,,,0.05,11.88,6.08,51,23,26,
12,XJ4,XJ4-1,0,20,S/D,,,,,0.06,34.16,6.98,29,39,32,
13,XJ5,XJ5-1,0,20,S/D,,,,,0.21,11.95,8.32,31,27,42,
14,XJ9,XJ9-1,0,20,S/D,,,,,0.13,13.11,6.01,46,21,32,
15,XR186,XR186-1,0,20,S/D,,,,,0.08,27.9,6.6,62,27,10,
16,XR21,XR21-1,0,20,S/D,,,,,0.06,13.68,5.8,30,33,36,
17,XR36,XR36-1,0,20,S/D,,,,,0.03,31.21,6.1,52,35,12,
18,XR4,XR4-1,0,20,S/D,,,,,0.03,13.98,6.3,28,41,30,
19,XR5,XR5-1,0,20,S/D,,,,,0.01,29.76,6.4,40,35,24,
20,XR6,XR6-1,0,20,S/D,,,,,0.02,13.32,6,30,36,34,
21,XR71,XR71-1,0,20,S/D,,,,,0.03,10.32,5.7,34,41,24,
22,XRJ,XRJ-1,0,20,S/D,,,,,0.02,15.49,5.9,28,43,28,
23,XRJ2,XRJ2-1,0,20,S/D,,,,,0.07,11.89,6.3,29,33,38,
24,54696,P47,0,30,S/D,,0.4,,2,0.04,0.9,5.45,28,39,34,0
