profile_id,profile_identifier,latitude,longitude,country_code,tipo,fecha,orden,source,contact,license,coordenadas,geom,perfil_duplicado
1,1,-8.3914,-75.041,PER,perfil de suelo,23/07/2017,Inceptisol,Residual,rbalta@minagri.gob.pe,CC-BY-NC-ND,,0101000020E6100000B4C876BE9FC252C00E4FAF9465C820C0,0
2,54696,-11.178463,-69.281952,BOL,barrenada,01/01/1900,Ferralsol rhidico,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E6100000ADC266800B5251C0941799805F5B26C0,0
3,54710,-10.962906,-69.546133,BOL,barrenada,01/01/1900,Ferralsol rhidico,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E61000000C91D3D7F36251C08E3EE60302ED25C0,0
4,55070,-17.218541,-69.59614,BOL,barrenada,01/01/1900,PHAEOZEM HAPLICO,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E610000099F56228276651C0CBD58F4DF23731C0,0
5,55291,-10.949013,-69.566965,BOL,barrenada,01/01/1900,Fluvisol eutrico,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E6100000813E9127496451C02CF52C08E5E525C0,0
6,55973,-17.247156,-69.59086,BOL,barrenada,01/01/1900,CAMBISOL EUTRICO,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E6100000EF2076A6D06551C09B02999D453F31C0,0
7,56015,-14.973233,-69.324736,BOL,barrenada,01/01/1900,LUVISOL GLEICO,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E61000005EF58079C85451C0A4C684984BF22DC0,0
8,56071,-10.973179,-69.546134,BOL,barrenada,01/01/1900,Ferralsol rhidico,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E6100000F44E05DCF36251C0D74E948444F225C0,0
9,56747,-17.27632,-69.349734,BOL,barrenada,01/01/1900,FLUVISOL MOLICO,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E61000002713B70A625651C0103B53E8BC4631C0,0
10,56785,-11.134572,-69.351684,BOL,barrenada,01/01/1900,Ferralsol rhidico,ZONISIG_GQ,germanq037@gmail.com,PDDL,,0101000020E6100000B2A19BFD815651C025EA059FE64426C0,0
11,63665,10.4,-83.88333333,CRI,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E610000046F4848888F854C0CDCCCCCCCCCC2440,0
12,63666,10.31666667,-83.625,CRI,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E61000000000000000E854C036C43E2222A22440,0
13,63763,18.09166667,-76.66416667,JAM,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E610000091AFEBB4812A53C081C8857777173240,0
14,63764,18.09166667,-76.65055556,JAM,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000959BC9B3A22953C081C8857777173240,0
15,63765,18.09166667,-76.66527778,JAM,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000C0F640E9932A53C081C8857777173240,0
16,63766,18.09166667,-76.64972222,JAM,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E61000009C98810C952953C081C8857777173240,0
17,63818,12.17000008,-68.26999664,ANT,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E61000001DB5FC9F471151C0B3D51F400A572840,0
18,63819,17.63999939,-63.23600006,ANT,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000EBC6FD3F359E4FC08C820100D7A33140,0
19,63821,-49.66600037,-72.81749725,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E61000007A54FCDF513452C00F2308803FD548C0,0
20,63822,-30.76000023,-68.76000214,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000290C04E0A33051C06FCD04608FC23EC0,0
21,63823,-39.08000183,-67.52999878,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E610000046C10080EBE150C02EBCFD7F3D8A43C0,0
22,63824,-27.29999924,-63.51660156,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E61000009CA1FAFF1FC24FC0F69F0CC0CC4C3BC0,0
23,63825,-27.71665955,-63.5,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E61000000000000000C04FC0B79D110077B73BC0,0
24,63826,-39.97999954,-63.24000168,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000E34A0360B89E4FC09132FB9F70FD43C0,0
25,63827,-26.75,-62.83330154,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000D300F79FA96A4FC00000000000C03AC0,0
26,63828,-38.68999863,-59.86999893,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000D7F3FB1F5CEF4DC0411107E0515843C0,0
27,63829,-36.43360138,-57.42829895,ARG,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000A094FF7FD2B64CC0DC4C0140803742C0,0
28,63830,-16.52000046,-64.81999969,BOL,perfil de suelo,01/01/1900,S/D,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,0101000020E6100000EED1FADF7A3450C0DE9A09C01E8530C0,0
