pais_id,nompais_id,provincia_id,provincia,localidad,nombreVulgar,unidadSuperficie,superficie
32,Argentina,6,BUENOS AIRES,16 DE JULIO,AVENA BLANCA VARIEDAD,Hectareas,40.00
32,Argentina,6,BUENOS AIRES,16 DE JULIO,TRIGO PAN VARIEDADES,Hectareas,146.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,AGROPIRO ALARGADO ,Hectareas,6.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,ARVEJA VARIEDAD,Hectareas,13.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,AVENA ,Hectareas,280.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,AVENA BLANCA VARIEDAD,Hectareas,161.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,CEBADA CERVECERA ,Hectareas,170.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,GIRASOL HIBRIDOS SIMPLES,Hectareas,60.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,MAIZ HIBRIDOS SIMPLES,Hectareas,199.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,PASTO OVILLO ,Hectareas,100.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,RAIGRAS ANUAL ,Hectareas,130.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,SOJA ,Hectareas,2039.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,SORGO FORRAJERO HIBRIDOS,Hectareas,122.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,SORGO GRANIFERO HIBRIDOS,Hectareas,36.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,TRIGO PAN VARIEDADES,Hectareas,405.00
32,Argentina,6,BUENOS AIRES,20 DE JUNIO,AVENA BLANCA VARIEDAD,Hectareas,99.00
32,Argentina,6,BUENOS AIRES,20 DE JUNIO,SOJA ,Hectareas,122.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,AGROPIRO ALARGADO ,Hectareas,18.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,AVENA ,Hectareas,20.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,CEBADILLA CRIOLLA ,Hectareas,20.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,FESTUCA ALTA ,Hectareas,61.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,GIRASOL HIBRIDOS SIMPLES,Hectareas,502.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,LOTUS CORNICULATUS ,Hectareas,43.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,MAIZ HIBRIDOS SIMPLES,Hectareas,419.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,RAIGRAS HIBRIDO ,Hectareas,50.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,SOJA ,Hectareas,2038.60
32,Argentina,6,BUENOS AIRES,25 DE MAYO,SORGO GRANIFERO HIBRIDOS,Hectareas,92.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,TRIGO PAN LINEA,Hectareas,25.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,TRIGO PAN VARIEDADES,Hectareas,537.00
