fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,11.66,55.1,2.62,9.42,4.63
1981-10-01,14.44,55.44,3.12,11.22,18.56
1981-11-01,17.0,65.12,3.01,10.84,76.63
1981-12-01,17.67,66.4,2.86,10.31,112.74
1982-01-01,16.52,75.25,2.64,9.49,143.71
1982-02-01,16.13,79.74,2.52,9.07,155.61
1982-03-01,14.9,81.35,2.27,8.19,163.9
1982-04-01,13.44,78.76,2.0,7.21,57.75
1982-05-01,11.25,57.92,1.77,6.38,1.66
1982-06-01,9.59,48.42,1.94,6.99,2.8
1982-07-01,11.39,46.78,2.06,7.42,2.04
1982-08-01,12.31,45.41,2.12,7.62,4.6
1982-09-01,13.71,53.92,2.66,9.57,12.92
1982-10-01,15.78,47.46,2.93,10.54,12.77
1982-11-01,17.66,59.96,3.11,11.2,87.58
1982-12-01,17.6,65.89,2.59,9.32,102.21
1983-01-01,18.54,73.65,2.53,9.1,219.46
1983-02-01,17.03,76.89,2.33,8.39,191.05
1983-03-01,16.93,74.02,2.36,8.5,53.86
1983-04-01,14.88,70.41,2.16,7.78,26.97
1983-05-01,11.2,65.21,1.96,7.06,12.98
1983-06-01,8.01,50.49,1.69,6.09,6.3
1983-07-01,8.46,49.36,1.77,6.39,13.97
1983-08-01,10.39,46.33,2.17,7.82,4.42
1983-09-01,10.36,41.54,2.31,8.31,3.6
1983-10-01,16.13,46.39,2.78,9.99,34.15
1983-11-01,15.9,62.61,2.74,9.86,47.7
1983-12-01,18.49,65.22,2.56,9.23,131.15
1984-01-01,17.62,77.38,2.41,8.68,186.41
1984-02-01,17.14,81.24,2.43,8.76,287.6
1984-03-01,15.75,83.69,2.36,8.51,231.95
1984-04-01,12.71,77.37,1.95,7.04,26.75
1984-05-01,12.46,54.53,1.67,6.02,9.95
1984-06-01,8.69,56.76,1.58,5.69,3.27
1984-07-01,10.18,46.32,2.1,7.55,3.38
1984-08-01,8.71,48.99,2.01,7.22,12.89
1984-09-01,13.52,47.78,2.48,8.94,2.96
1984-10-01,17.4,56.65,2.57,9.24,34.98
1984-11-01,17.41,63.51,3.05,10.99,50.46
1984-12-01,16.65,71.65,3.01,10.85,141.58
