fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,13.27,65.33,3.12,11.22,27.51
1981-10-01,17.55,63.61,2.77,9.95,71.38
1981-11-01,20.74,65.83,2.78,10.01,129.12
1981-12-01,23.89,55.38,2.45,8.82,79.51
1982-01-01,24.53,55.7,2.52,9.07,167.07
1982-02-01,22.21,68.76,2.43,8.76,133.09
1982-03-01,22.22,65.32,2.19,7.89,94.67
1982-04-01,18.49,79.51,2.27,8.17,100.74
1982-05-01,14.29,76.81,2.4,8.64,35.21
1982-06-01,10.15,81.18,2.56,9.23,33.56
1982-07-01,10.33,80.94,2.6,9.38,19.02
1982-08-01,12.49,71.61,2.86,10.3,7.77
1982-09-01,15.37,73.36,3.27,11.76,146.0
1982-10-01,17.52,60.98,3.04,10.96,84.73
1982-11-01,20.13,60.51,2.81,10.11,77.42
1982-12-01,25.49,52.0,2.67,9.62,48.05
1983-01-01,26.8,58.95,2.65,9.53,81.62
1983-02-01,24.12,61.23,2.64,9.52,102.14
1983-03-01,21.58,64.55,2.66,9.58,83.78
1983-04-01,17.49,74.15,2.32,8.33,49.82
1983-05-01,13.03,81.34,2.35,8.47,68.69
1983-06-01,7.87,80.82,2.36,8.5,12.86
1983-07-01,8.03,77.86,2.25,8.09,1.74
1983-08-01,11.17,77.79,2.73,9.82,41.71
1983-09-01,12.84,66.39,2.73,9.82,29.49
1983-10-01,18.93,67.55,3.05,10.99,149.84
1983-11-01,21.01,65.81,2.75,9.89,118.33
1983-12-01,25.23,60.15,2.6,9.35,110.73
1984-01-01,25.49,67.99,2.35,8.44,136.56
1984-02-01,23.5,78.79,2.37,8.53,415.86
1984-03-01,20.16,82.37,2.31,8.3,100.2
1984-04-01,15.83,80.28,2.88,10.37,52.03
1984-05-01,12.89,79.84,2.9,10.42,22.39
1984-06-01,8.0,82.85,2.57,9.24,18.7
1984-07-01,8.81,83.81,2.72,9.79,11.67
1984-08-01,9.71,75.48,2.33,8.38,18.32
1984-09-01,14.41,78.03,2.84,10.23,79.15
1984-10-01,18.92,71.49,2.8,10.08,172.56
1984-11-01,20.43,69.43,2.69,9.69,94.55
1984-12-01,21.4,58.64,2.53,9.11,67.84
1985-01-01,25.98,55.05,2.69,9.67,52.95
1985-02-01,24.14,64.16,2.17,7.81,91.15
1985-03-01,22.08,61.96,2.57,9.26,52.04
1985-04-01,16.87,72.01,2.42,8.71,106.05
1985-05-01,15.05,72.26,2.4,8.64,62.32
1985-06-01,11.81,80.29,2.38,8.58,13.53
1985-07-01,10.64,78.89,2.81,10.13,66.87
1985-08-01,11.9,76.61,2.3,8.29,37.28
1985-09-01,14.22,75.31,2.71,9.76,88.75
1985-10-01,17.42,74.32,2.75,9.89,164.93
1985-11-01,21.86,69.99,2.75,9.89,141.26
1985-12-01,23.87,65.4,2.49,8.98,101.09
1986-01-01,25.35,61.91,2.77,9.96,232.59
1986-02-01,23.24,64.85,2.4,8.62,53.97
1986-03-01,20.31,66.47,2.39,8.61,55.42
1986-04-01,18.12,80.13,2.4,8.64,145.32
1986-05-01,13.57,76.49,2.57,9.26,58.38
1986-06-01,12.53,85.05,2.63,9.47,38.93
1986-07-01,11.24,79.84,2.89,10.41,2.84
1986-08-01,12.31,76.94,2.69,9.7,37.68
1986-09-01,15.13,70.89,3.37,12.13,53.74
1986-10-01,18.34,69.34,2.87,10.34,115.31
1986-11-01,20.56,66.15,3.2,11.51,157.43
1986-12-01,24.65,57.6,2.85,10.26,59.19
1987-01-01,26.68,58.12,2.42,8.72,87.58
1987-02-01,24.98,66.81,2.43,8.74,187.16
1987-03-01,21.55,75.74,2.51,9.05,201.27
1987-04-01,17.42,78.7,2.1,7.56,83.01
1987-05-01,10.43,79.04,2.74,9.88,47.82
1987-06-01,10.19,77.28,2.48,8.93,15.64
1987-07-01,12.22,81.94,2.7,9.73,79.0
1987-08-01,10.55,80.12,2.72,9.8,23.95
1987-09-01,13.12,67.47,2.72,9.81,19.9
1987-10-01,17.73,69.36,2.72,9.8,99.76
1987-11-01,20.89,69.23,2.8,10.07,138.55
1987-12-01,22.32,62.43,2.8,10.09,131.65
1988-01-01,24.89,61.48,2.35,8.46,97.35
1988-02-01,24.34,61.86,2.35,8.47,54.83
1988-03-01,22.83,77.56,2.44,8.8,316.57
1988-04-01,15.7,74.47,2.36,8.5,46.5
1988-05-01,10.6,75.8,1.91,6.86,2.5
1988-06-01,8.85,78.98,2.05,7.38,7.85
1988-07-01,7.81,77.66,2.79,10.04,35.69
1988-08-01,12.02,68.65,2.65,9.56,7.35
1988-09-01,13.86,65.84,2.55,9.18,59.18
1988-10-01,17.19,58.34,3.1,11.15,65.7
1988-11-01,23.08,49.63,3.22,11.59,47.93
1988-12-01,25.69,49.96,2.35,8.45,91.71
1989-01-01,27.6,48.71,2.41,8.67,95.85
1989-02-01,26.0,55.81,2.34,8.43,84.85
1989-03-01,20.85,69.22,2.07,7.45,156.42
1989-04-01,18.18,70.06,2.19,7.88,79.7
1989-05-01,13.69,73.24,2.45,8.81,64.44
1989-06-01,12.25,78.55,2.08,7.49,42.8
1989-07-01,9.52,75.83,2.62,9.44,28.55
1989-08-01,13.18,70.19,3.25,11.7,52.63
1989-09-01,13.6,64.16,2.78,10.01,16.79
1989-10-01,18.04,59.75,3.03,10.91,81.54
1989-11-01,21.4,58.05,2.71,9.77,79.25
1989-12-01,25.68,64.97,2.51,9.04,201.04
1990-01-01,26.72,56.09,2.57,9.24,161.68
1990-02-01,22.92,80.28,2.45,8.81,102.34
1990-03-01,19.89,79.38,2.4,8.63,226.28
1990-04-01,16.79,80.67,2.11,7.58,160.88
1990-05-01,12.14,81.57,2.5,8.99,72.06
1990-06-01,8.91,80.14,2.54,9.13,2.18
1990-07-01,8.71,81.64,2.52,9.07,36.31
1990-08-01,14.14,77.19,2.7,9.71,16.61
1990-09-01,13.26,71.05,2.94,10.57,42.43
1990-10-01,18.91,74.72,2.77,9.97,191.51
1990-11-01,21.44,66.13,2.95,10.63,189.24
1990-12-01,22.26,65.37,3.16,11.38,142.81
1991-01-01,24.49,61.1,2.74,9.87,125.57
1991-02-01,24.65,53.54,2.42,8.7,64.38
1991-03-01,23.53,63.22,2.27,8.17,105.66
