fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,17.49,43.15,2.61,9.4,3.96
1981-10-01,21.06,49.53,2.88,10.39,21.68
1981-11-01,23.41,61.0,2.63,9.46,78.28
1981-12-01,23.94,61.86,2.37,8.52,107.92
1982-01-01,22.24,73.15,2.32,8.36,157.93
1982-02-01,21.28,81.35,2.21,7.96,188.19
1982-03-01,19.91,84.97,2.13,7.67,169.02
1982-04-01,18.05,84.28,2.1,7.57,89.0
1982-05-01,16.17,65.2,1.81,6.52,6.5
1982-06-01,14.82,57.96,2.09,7.53,4.3
1982-07-01,16.72,54.38,2.19,7.87,7.13
1982-08-01,18.04,46.83,2.2,7.93,6.67
1982-09-01,20.21,50.35,2.77,9.97,16.03
1982-10-01,22.3,44.04,2.78,10.02,15.88
1982-11-01,24.44,54.63,2.77,9.98,82.25
1982-12-01,24.02,61.04,2.26,8.13,104.76
1983-01-01,24.23,71.67,2.12,7.64,218.45
1983-02-01,22.83,71.69,2.12,7.64,83.31
1983-03-01,22.64,70.5,2.24,8.07,94.02
1983-04-01,20.56,70.57,2.08,7.48,44.11
1983-05-01,16.9,67.73,2.2,7.91,20.1
1983-06-01,11.9,61.21,2.43,8.76,8.09
1983-07-01,13.28,57.25,2.18,7.84,20.48
1983-08-01,16.04,46.49,2.45,8.82,9.67
1983-09-01,16.6,41.05,2.71,9.75,5.95
1983-10-01,22.6,44.54,2.71,9.74,34.32
1983-11-01,22.39,58.21,2.55,9.2,60.18
1983-12-01,25.24,58.15,2.33,8.41,103.4
1984-01-01,23.44,74.42,1.98,7.14,187.97
1984-02-01,22.36,81.15,2.08,7.5,246.75
1984-03-01,20.82,85.18,2.16,7.76,280.41
1984-04-01,17.04,84.27,1.94,6.99,43.65
1984-05-01,17.16,65.72,1.95,7.02,14.16
1984-06-01,12.95,67.95,2.14,7.71,10.05
1984-07-01,15.56,51.77,2.1,7.56,7.56
1984-08-01,14.45,50.69,2.28,8.22,16.17
1984-09-01,20.53,42.93,2.65,9.53,2.02
1984-10-01,24.32,49.29,2.57,9.25,41.34
1984-11-01,23.36,62.72,2.66,9.56,81.01
1984-12-01,22.38,70.81,2.6,9.36,167.14
1985-01-01,22.67,69.46,2.29,8.23,156.67
1985-02-01,21.63,84.93,2.13,7.68,315.56
1985-03-01,21.84,76.63,1.9,6.84,97.82
1985-04-01,19.61,71.73,2.11,7.59,99.52
1985-05-01,18.29,60.02,1.82,6.54,6.81
1985-06-01,15.62,52.5,1.76,6.32,5.89
1985-07-01,14.3,51.25,2.22,7.98,18.85
1985-08-01,15.83,50.19,2.27,8.17,15.93
1985-09-01,19.27,49.15,2.61,9.39,14.81
1985-10-01,23.83,49.13,2.76,9.93,33.22
1985-11-01,24.21,55.96,2.49,8.96,121.95
1985-12-01,25.4,56.76,2.23,8.03,159.4
1986-01-01,24.33,68.56,2.06,7.42,150.97
1986-02-01,23.14,70.5,2.01,7.25,138.28
1986-03-01,21.58,73.43,2.2,7.92,71.94
1986-04-01,21.57,62.13,2.02,7.27,29.47
1986-05-01,18.84,51.06,2.02,7.28,2.98
1986-06-01,17.16,47.24,2.02,7.29,5.87
1986-07-01,16.17,41.71,1.87,6.73,5.55
1986-08-01,18.13,52.69,2.45,8.83,15.78
1986-09-01,19.01,46.08,2.69,9.69,6.02
1986-10-01,21.07,49.45,2.6,9.36,52.19
1986-11-01,24.45,51.35,2.73,9.82,109.46
1986-12-01,23.66,72.48,1.9,6.82,234.18
1987-01-01,22.65,83.89,2.05,7.38,264.74
1987-02-01,21.58,75.22,2.17,7.81,48.15
1987-03-01,21.86,70.92,2.11,7.59,88.85
1987-04-01,20.28,67.61,2.12,7.65,53.89
1987-05-01,14.07,61.71,2.48,8.92,14.1
1987-06-01,14.75,49.82,1.9,6.85,0.56
1987-07-01,17.9,38.39,2.17,7.83,4.27
1987-08-01,16.05,37.57,2.5,9.01,4.91
1987-09-01,18.27,34.4,2.73,9.82,3.93
1987-10-01,22.14,45.56,2.77,9.96,8.14
1987-11-01,23.88,62.81,2.6,9.37,142.96
1987-12-01,22.57,69.94,2.34,8.42,166.63
1988-01-01,23.0,82.06,2.02,7.26,260.56
1988-02-01,20.97,79.88,1.98,7.12,158.28
1988-03-01,22.27,82.93,1.96,7.05,169.03
1988-04-01,18.59,76.31,1.85,6.67,29.3
1988-05-01,14.27,74.37,2.17,7.82,22.18
1988-06-01,13.35,60.99,1.94,6.98,1.32
1988-07-01,11.95,56.57,2.24,8.07,16.59
1988-08-01,17.48,36.74,2.38,8.56,3.43
1988-09-01,18.66,39.66,2.67,9.6,4.27
1988-10-01,21.4,40.05,2.66,9.59,21.42
1988-11-01,24.95,36.97,2.61,9.4,50.14
1988-12-01,24.54,60.75,2.24,8.05,161.03
1989-01-01,24.24,63.51,1.94,6.98,105.21
1989-02-01,24.86,57.14,1.98,7.12,69.59
1989-03-01,20.57,79.31,1.93,6.94,233.6
