fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,12.51,42.36,3.01,10.84,1.4
1981-10-01,16.72,42.24,3.16,11.37,12.32
1981-11-01,20.56,36.94,3.51,12.64,11.85
1981-12-01,24.64,29.1,3.36,12.11,17.14
1982-01-01,25.05,40.19,2.91,10.48,43.45
1982-02-01,22.75,42.13,2.9,10.44,73.66
1982-03-01,20.63,52.68,2.42,8.69,30.89
1982-04-01,17.41,56.69,2.37,8.52,13.82
1982-05-01,14.53,49.01,2.2,7.93,4.02
1982-06-01,7.81,61.42,2.83,10.2,37.86
1982-07-01,9.02,58.94,2.53,9.1,20.74
1982-08-01,11.07,47.13,2.7,9.71,2.88
1982-09-01,14.35,53.0,3.04,10.93,50.93
1982-10-01,17.21,33.15,2.97,10.68,8.57
1982-11-01,20.48,33.51,3.46,12.47,14.89
1982-12-01,25.18,36.54,3.2,11.52,16.32
1983-01-01,24.01,51.92,3.16,11.38,82.94
1983-02-01,23.19,42.3,3.15,11.35,18.61
1983-03-01,22.32,40.73,2.97,10.68,15.63
1983-04-01,17.46,46.74,2.47,8.9,4.87
1983-05-01,12.14,53.82,2.32,8.35,19.33
1983-06-01,6.67,56.43,2.12,7.62,15.95
1983-07-01,7.28,51.54,2.24,8.08,6.94
1983-08-01,9.51,50.14,2.82,10.15,28.53
1983-09-01,11.4,46.42,2.62,9.45,40.2
1983-10-01,18.68,38.08,3.04,10.95,12.51
1983-11-01,22.06,38.27,3.09,11.12,29.58
1983-12-01,26.09,39.56,3.4,12.25,45.6
1984-01-01,24.77,46.7,3.04,10.94,82.9
1984-02-01,23.8,45.71,3.12,11.25,51.58
1984-03-01,20.55,62.21,2.72,9.79,89.71
1984-04-01,15.23,60.1,2.75,9.91,17.74
1984-05-01,11.47,48.73,2.14,7.72,3.79
1984-06-01,6.31,66.1,2.61,9.39,14.92
1984-07-01,7.72,59.7,2.34,8.41,34.07
1984-08-01,9.05,51.57,2.46,8.86,6.26
1984-09-01,13.71,55.31,2.9,10.45,35.33
1984-10-01,19.78,37.19,3.11,11.21,7.11
1984-11-01,20.58,44.67,3.65,13.14,45.98
1984-12-01,22.08,44.94,3.39,12.22,55.24
1985-01-01,23.72,46.98,3.02,10.88,60.86
1985-02-01,23.26,49.7,2.93,10.55,47.28
1985-03-01,21.41,40.19,2.95,10.63,16.43
1985-04-01,16.74,43.58,2.66,9.59,2.5
1985-05-01,14.59,42.97,2.41,8.67,1.73
1985-06-01,11.26,53.03,2.21,7.97,0.44
1985-07-01,8.42,60.44,2.5,9.01,52.54
1985-08-01,10.73,49.76,2.59,9.31,5.76
1985-09-01,14.27,47.9,2.91,10.47,11.98
1985-10-01,18.34,42.09,3.51,12.65,9.06
1985-11-01,22.88,43.75,3.17,11.42,41.32
1985-12-01,25.14,44.74,3.37,12.14,51.43
1986-01-01,25.78,35.36,3.58,12.9,12.81
1986-02-01,24.77,37.13,3.23,11.62,19.84
1986-03-01,21.67,41.62,3.13,11.25,14.63
1986-04-01,17.76,46.6,2.77,9.96,4.77
1986-05-01,13.72,44.47,2.51,9.03,10.97
1986-06-01,10.26,51.58,2.31,8.33,12.78
1986-07-01,10.8,53.9,2.42,8.72,8.31
1986-08-01,11.66,47.77,2.78,10.0,4.29
1986-09-01,13.15,44.48,3.18,11.46,29.35
1986-10-01,18.15,45.64,2.88,10.38,27.01
1986-11-01,22.13,29.98,3.5,12.61,7.23
1986-12-01,26.39,36.68,3.6,12.96,24.53
1987-01-01,26.59,40.04,3.18,11.46,37.74
1987-02-01,25.48,39.66,3.21,11.54,21.96
1987-03-01,21.09,51.41,2.9,10.45,71.05
1987-04-01,17.7,50.46,2.55,9.18,11.92
1987-05-01,9.69,55.15,2.45,8.82,25.64
1987-06-01,9.98,52.05,2.05,7.38,2.41
1987-07-01,9.68,56.12,2.06,7.43,51.16
1987-08-01,9.23,53.57,2.66,9.58,26.26
1987-09-01,12.79,41.42,2.97,10.7,2.1
1987-10-01,18.48,39.35,3.21,11.55,19.52
1987-11-01,22.52,41.19,3.33,12.0,32.47
