fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,13.74,66.52,2.64,9.51,17.01
1981-10-01,18.24,63.32,2.28,8.22,66.39
1981-11-01,21.36,66.12,2.29,8.26,146.0
1981-12-01,24.29,56.75,2.02,7.28,86.14
1982-01-01,25.35,54.65,2.14,7.69,129.99
1982-02-01,23.12,67.4,2.03,7.32,155.74
1982-03-01,22.73,65.42,1.88,6.77,78.85
1982-04-01,19.26,77.61,1.84,6.63,84.54
1982-05-01,15.1,75.75,2.05,7.37,40.36
1982-06-01,11.09,80.75,2.15,7.72,28.18
1982-07-01,11.25,79.46,2.23,8.04,16.36
1982-08-01,13.32,70.68,2.46,8.86,7.37
1982-09-01,16.11,72.43,2.73,9.83,138.78
1982-10-01,18.12,60.97,2.51,9.03,88.93
1982-11-01,20.86,60.19,2.3,8.27,78.91
1982-12-01,26.04,51.79,2.21,7.97,45.47
1983-01-01,27.54,57.31,2.23,8.01,66.89
1983-02-01,24.73,61.82,2.16,7.76,118.77
1983-03-01,21.96,65.68,2.2,7.91,69.88
1983-04-01,18.31,72.94,1.97,7.1,39.3
1983-05-01,13.85,80.54,1.98,7.12,74.17
1983-06-01,8.49,80.71,2.02,7.27,18.43
1983-07-01,8.69,77.9,1.94,6.99,2.94
1983-08-01,11.7,77.49,2.27,8.17,50.58
1983-09-01,13.33,67.45,2.29,8.25,33.26
1983-10-01,19.56,67.04,2.55,9.17,140.26
1983-11-01,21.62,65.3,2.29,8.25,118.15
1983-12-01,26.09,57.67,2.16,7.78,100.47
1984-01-01,26.37,66.5,2.01,7.24,105.82
1984-02-01,24.23,77.88,1.97,7.09,423.1
1984-03-01,20.79,82.23,1.96,7.05,113.89
1984-04-01,16.39,80.81,2.34,8.41,45.26
1984-05-01,13.64,80.17,2.38,8.56,29.54
1984-06-01,8.56,83.14,2.12,7.63,17.49
1984-07-01,9.44,83.46,2.3,8.28,11.08
1984-08-01,10.36,74.85,2.0,7.2,18.63
1984-09-01,14.99,77.51,2.39,8.62,93.24
1984-10-01,19.56,71.43,2.36,8.5,146.38
1984-11-01,21.22,68.29,2.26,8.14,89.69
1984-12-01,22.1,58.43,2.12,7.64,92.7
1985-01-01,26.88,53.0,2.22,7.98,31.88
1985-02-01,25.1,63.08,1.86,6.71,83.77
1985-03-01,22.89,61.87,2.15,7.75,64.57
1985-04-01,17.44,72.88,2.03,7.3,118.0
1985-05-01,15.72,73.02,2.03,7.32,36.31
1985-06-01,12.56,78.82,2.04,7.33,23.35
1985-07-01,11.32,77.62,2.43,8.75,68.54
1985-08-01,12.51,76.66,2.02,7.27,47.37
1985-09-01,14.78,75.54,2.26,8.14,93.66
1985-10-01,18.23,73.94,2.32,8.36,156.03
1985-11-01,22.67,67.9,2.35,8.45,78.42
1985-12-01,24.5,65.03,2.09,7.54,126.43
1986-01-01,26.1,60.92,2.3,8.28,220.57
1986-02-01,23.75,65.92,1.99,7.15,61.86
1986-03-01,21.1,66.57,2.03,7.32,60.72
1986-04-01,19.01,79.75,2.0,7.21,170.65
1986-05-01,14.35,77.11,2.17,7.8,35.08
1986-06-01,13.31,84.61,2.25,8.11,48.1
1986-07-01,11.83,80.59,2.44,8.78,3.39
1986-08-01,13.06,77.5,2.22,8.01,40.18
1986-09-01,15.65,71.7,2.82,10.14,57.03
1986-10-01,19.05,68.29,2.39,8.61,92.08
1986-11-01,21.33,66.32,2.72,9.81,172.38
1986-12-01,24.91,60.54,2.29,8.24,91.93
