fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,14.61,69.46,1.62,5.84,29.63
1981-10-01,17.56,65.52,1.51,5.42,58.16
1981-11-01,21.08,64.77,1.61,5.78,95.85
1981-12-01,23.95,56.42,1.38,4.97,103.57
1982-01-01,24.56,55.99,1.41,5.06,167.35
1982-02-01,22.49,68.68,1.4,5.05,121.17
1982-03-01,22.39,65.62,1.27,4.58,83.16
1982-04-01,18.62,79.64,1.26,4.54,100.54
1982-05-01,14.29,78.77,1.28,4.61,73.17
1982-06-01,10.25,83.4,1.42,5.11,60.76
1982-07-01,10.36,83.44,1.46,5.26,44.76
1982-08-01,12.38,75.76,1.59,5.72,29.19
1982-09-01,15.28,76.68,1.78,6.39,154.79
1982-10-01,17.27,64.29,1.66,5.98,101.64
1982-11-01,19.83,63.78,1.52,5.47,81.29
1982-12-01,25.51,52.14,1.48,5.35,45.42
1983-01-01,26.9,59.2,1.47,5.3,83.01
1983-02-01,24.38,60.95,1.49,5.38,96.22
1983-03-01,21.6,64.95,1.43,5.16,90.31
1983-04-01,17.7,73.88,1.28,4.62,55.38
1983-05-01,13.37,81.52,1.32,4.75,63.75
1983-06-01,8.26,81.57,1.38,4.96,20.13
1983-07-01,8.33,78.66,1.32,4.75,3.46
1983-08-01,11.51,78.41,1.55,5.6,56.14
1983-09-01,13.04,68.08,1.56,5.63,39.95
1983-10-01,18.85,69.25,1.63,5.87,139.1
1983-11-01,20.9,68.44,1.56,5.61,146.98
1983-12-01,25.22,60.87,1.45,5.24,90.45
1984-01-01,25.76,68.07,1.35,4.84,182.48
1984-02-01,23.91,78.36,1.34,4.83,474.03
1984-03-01,20.42,82.06,1.31,4.71,99.76
1984-04-01,16.0,81.86,1.57,5.66,57.52
1984-05-01,12.92,81.82,1.57,5.65,31.28
1984-06-01,8.2,84.62,1.43,5.16,32.41
1984-07-01,9.0,85.18,1.54,5.54,34.55
1984-08-01,9.82,77.47,1.4,5.02,12.39
1984-09-01,14.45,79.11,1.65,5.94,79.88
1984-10-01,18.83,73.41,1.53,5.5,220.98
1984-11-01,20.29,71.15,1.5,5.4,86.06
1984-12-01,21.47,59.33,1.47,5.3,62.4
1985-01-01,26.25,54.75,1.56,5.6,53.52
1985-02-01,24.59,63.24,1.22,4.39,97.46
1985-03-01,22.1,63.61,1.47,5.28,71.18
1985-04-01,17.22,72.19,1.36,4.91,104.31
1985-05-01,15.06,73.78,1.32,4.74,91.96
1985-06-01,12.01,81.41,1.31,4.73,24.48
1985-07-01,10.85,80.74,1.58,5.68,79.79
1985-08-01,12.0,78.52,1.39,4.99,35.02
1985-09-01,14.37,76.66,1.55,5.6,79.94
1985-10-01,17.6,75.28,1.5,5.4,201.24
1985-11-01,21.6,72.67,1.48,5.33,180.98
1985-12-01,23.59,67.61,1.41,5.08,130.81
1986-01-01,25.39,62.83,1.55,5.59,219.19
1986-02-01,23.55,65.08,1.36,4.9,44.28
1986-03-01,20.65,65.91,1.34,4.81,44.27
1986-04-01,18.25,81.44,1.3,4.67,200.2
1986-05-01,13.53,79.36,1.37,4.94,55.32
1986-06-01,12.7,86.7,1.42,5.13,80.05
1986-07-01,11.17,82.38,1.6,5.75,13.21
1986-08-01,12.19,80.33,1.56,5.62,59.01
1986-09-01,15.0,75.32,1.81,6.5,63.37
1986-10-01,18.04,72.87,1.53,5.5,150.33
1986-11-01,20.14,70.74,1.66,5.97,206.07
1986-12-01,24.41,59.56,1.57,5.66,30.05
1987-01-01,26.57,58.89,1.36,4.88,86.65
1987-02-01,25.03,67.38,1.32,4.74,192.27
1987-03-01,21.99,74.54,1.42,5.12,191.24
1987-04-01,17.53,79.52,1.16,4.19,98.22
1987-05-01,10.73,79.43,1.51,5.45,20.13
1987-06-01,10.37,77.81,1.39,5.0,9.96
1987-07-01,12.63,81.77,1.58,5.69,94.6
1987-08-01,10.92,80.5,1.57,5.66,29.24
1987-09-01,13.23,68.42,1.53,5.49,36.36
1987-10-01,17.86,70.52,1.49,5.38,123.11
1987-11-01,20.76,71.12,1.55,5.56,156.65
1987-12-01,22.22,65.03,1.52,5.47,139.6
1988-01-01,24.83,63.0,1.35,4.85,87.55
1988-02-01,24.13,63.88,1.36,4.9,83.26
1988-03-01,23.14,77.03,1.39,5.02,414.94
1988-04-01,15.56,76.64,1.33,4.77,46.95
1988-05-01,10.7,77.56,1.12,4.05,0.89
1988-06-01,8.92,80.33,1.17,4.21,11.89
1988-07-01,8.15,79.33,1.58,5.68,36.33
1988-08-01,12.26,69.95,1.61,5.78,10.07
1988-09-01,13.87,67.53,1.53,5.5,54.06
1988-10-01,17.05,60.5,1.73,6.22,94.17
1988-11-01,22.44,54.25,1.64,5.92,88.1
1988-12-01,25.32,53.29,1.32,4.76,101.65
