fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,1.65,86.79,5.75,20.72,21.77
1981-10-01,4.08,86.01,5.93,21.34,58.6
1981-11-01,5.4,77.82,5.81,20.91,46.75
1981-12-01,6.21,79.32,4.96,17.84,64.89
1982-01-01,9.28,80.39,4.03,14.52,83.49
1982-02-01,7.82,80.56,4.77,17.17,83.64
1982-03-01,6.15,82.02,5.77,20.75,58.34
1982-04-01,4.15,88.52,4.75,17.1,56.15
1982-05-01,2.6,94.22,4.21,15.17,67.01
1982-06-01,0.08,94.67,3.28,11.8,28.35
1982-07-01,-0.87,90.13,5.33,19.2,43.53
1982-08-01,-0.72,90.3,3.86,13.91,35.62
1982-09-01,1.19,87.4,4.59,16.51,25.83
1982-10-01,2.22,84.15,5.11,18.39,98.88
1982-11-01,5.01,81.43,4.08,14.7,70.16
1982-12-01,7.14,79.2,4.83,17.39,63.59
1983-01-01,8.3,79.15,4.19,15.08,81.54
1983-02-01,6.13,82.46,4.54,16.34,86.41
1983-03-01,5.77,86.11,4.17,15.01,74.78
1983-04-01,4.21,90.45,3.08,11.09,59.74
1983-05-01,2.13,92.57,3.5,12.61,44.0
1983-06-01,-0.84,92.11,4.41,15.89,49.01
1983-07-01,-0.7,94.23,4.33,15.59,56.06
1983-08-01,1.27,90.24,4.62,16.61,41.34
1983-09-01,2.13,86.62,4.61,16.59,40.32
1983-10-01,3.94,81.07,5.18,18.66,50.14
1983-11-01,5.83,79.27,6.13,22.08,49.03
1983-12-01,7.67,75.58,5.19,18.67,46.85
1984-01-01,7.08,77.03,4.96,17.86,85.83
1984-02-01,6.67,80.86,4.52,16.26,56.77
1984-03-01,6.62,82.96,3.74,13.48,52.45
1984-04-01,4.11,86.76,5.09,18.33,73.73
1984-05-01,-1.33,91.0,4.03,14.5,122.34
1984-06-01,-1.12,93.09,3.64,13.1,58.09
1984-07-01,-2.75,93.65,3.62,13.02,49.9
1984-08-01,-0.2,90.15,4.71,16.96,50.31
1984-09-01,2.12,86.01,4.11,14.78,31.66
1984-10-01,3.22,83.46,4.34,15.61,51.16
1984-11-01,6.03,79.59,5.08,18.27,50.96
1984-12-01,8.73,76.42,3.14,11.29,37.91
1985-01-01,9.39,77.54,4.4,15.86,74.48
1985-02-01,8.44,79.44,5.12,18.44,51.08
1985-03-01,4.74,82.33,4.17,15.01,53.23
1985-04-01,3.49,86.32,4.16,14.97,35.23
1985-05-01,0.72,91.39,3.51,12.62,50.77
1985-06-01,-0.04,94.78,3.46,12.46,28.77
1985-07-01,0.17,92.96,4.65,16.73,34.38
1985-08-01,0.98,88.61,5.99,21.58,49.97
1985-09-01,2.01,85.04,5.33,19.17,34.22
1985-10-01,4.19,81.69,4.51,16.22,27.38
1985-11-01,6.69,78.16,4.56,16.42,43.53
1985-12-01,7.27,77.73,5.62,20.22,85.91
1986-01-01,7.31,75.78,5.16,18.57,76.64
1986-02-01,6.45,80.35,5.12,18.42,77.45
1986-03-01,5.32,82.09,4.74,17.06,42.8
1986-04-01,2.96,88.49,4.28,15.42,50.22
1986-05-01,-0.6,91.11,3.43,12.34,81.92
1986-06-01,-1.33,92.32,4.94,17.79,70.37
1986-07-01,-0.49,91.26,5.01,18.04,89.05
1986-08-01,0.34,90.99,5.0,18.01,36.75
1986-09-01,1.14,87.31,5.3,19.09,59.71
1986-10-01,4.08,83.5,4.42,15.91,32.22
1986-11-01,4.32,82.2,4.74,17.07,86.6
1986-12-01,6.46,80.83,5.51,19.82,115.94
1987-01-01,7.19,78.93,5.04,18.13,83.67
1987-02-01,7.66,82.75,4.39,15.79,86.48
1987-03-01,6.17,83.56,5.0,18.01,59.4
1987-04-01,3.9,88.4,4.58,16.49,65.52
1987-05-01,2.39,92.37,4.0,14.39,51.83
1987-06-01,0.44,92.15,4.47,16.11,64.4
1987-07-01,-2.08,91.09,4.27,15.36,63.53
1987-08-01,-0.72,92.34,4.09,14.71,25.36
