fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,11.82,55.67,3.6,12.95,3.16
1981-10-01,16.03,52.39,3.13,11.26,97.67
1981-11-01,19.71,49.11,3.69,13.28,41.69
1981-12-01,22.86,42.2,3.83,13.81,53.18
1982-01-01,25.11,41.74,4.08,14.71,56.23
1982-02-01,21.63,51.2,3.74,13.47,92.61
1982-03-01,20.94,54.69,3.15,11.35,99.07
1982-04-01,16.18,79.09,3.14,11.32,177.05
1982-05-01,11.84,81.12,3.17,11.42,38.28
1982-06-01,5.63,84.71,2.88,10.38,49.88
1982-07-01,5.84,87.66,2.79,10.05,49.92
1982-08-01,8.63,78.2,3.46,12.46,24.57
1982-09-01,11.99,74.94,3.1,11.17,59.85
1982-10-01,14.57,61.15,3.38,12.18,55.44
1982-11-01,17.55,55.94,3.48,12.54,38.96
1982-12-01,23.71,45.26,3.86,13.88,47.31
1983-01-01,24.1,55.68,3.46,12.45,132.68
1983-02-01,22.82,45.34,4.01,14.44,24.84
1983-03-01,18.62,66.32,3.82,13.76,228.45
1983-04-01,13.93,78.57,3.02,10.86,68.74
1983-05-01,10.15,83.21,2.89,10.4,82.41
1983-06-01,4.5,88.43,2.57,9.25,10.71
1983-07-01,5.24,79.1,3.62,13.02,8.04
1983-08-01,8.14,77.91,3.42,12.31,42.2
1983-09-01,10.83,66.64,3.5,12.6,35.0
1983-10-01,15.4,64.98,3.19,11.49,91.82
1983-11-01,20.3,51.7,3.73,13.44,12.94
1983-12-01,24.41,44.81,3.88,13.98,34.05
1984-01-01,25.29,42.84,4.12,14.83,40.04
1984-02-01,22.0,58.0,3.98,14.34,99.59
1984-03-01,19.18,65.67,3.59,12.92,32.89
1984-04-01,14.57,68.19,3.59,12.93,31.31
1984-05-01,9.42,71.77,3.64,13.11,29.49
1984-06-01,4.78,81.48,2.8,10.1,14.1
1984-07-01,5.54,83.91,2.95,10.62,24.28
1984-08-01,7.58,74.54,3.35,12.05,12.94
1984-09-01,12.07,73.63,3.11,11.18,54.47
1984-10-01,16.22,60.74,3.49,12.58,63.61
1984-11-01,18.08,59.33,3.08,11.1,49.73
1984-12-01,20.04,46.11,3.68,13.26,22.59
1985-01-01,22.81,54.36,3.25,11.69,120.24
1985-02-01,22.34,51.39,3.52,12.68,47.29
1985-03-01,19.35,48.31,3.72,13.38,50.6
1985-04-01,14.38,60.49,3.28,11.79,41.92
1985-05-01,10.64,64.14,3.04,10.93,15.18
1985-06-01,9.87,78.28,2.63,9.45,6.34
1985-07-01,8.21,75.43,3.32,11.94,69.07
1985-08-01,9.31,68.94,2.88,10.36,3.29
1985-09-01,12.41,62.35,3.31,11.91,48.15
1985-10-01,14.52,68.74,2.97,10.68,135.34
1985-11-01,19.19,62.74,2.8,10.09,70.65
1985-12-01,22.36,49.51,3.77,13.58,61.45
1986-01-01,24.16,46.23,4.0,14.4,102.43
1986-02-01,22.54,47.98,3.94,14.18,23.16
1986-03-01,18.12,53.9,3.4,12.23,64.91
1986-04-01,15.29,63.95,3.2,11.51,31.23
1986-05-01,10.28,64.47,2.96,10.65,13.04
1986-06-01,8.76,74.56,3.21,11.54,27.85
1986-07-01,8.66,70.95,3.33,12.0,18.05
1986-08-01,8.35,68.56,3.22,11.58,71.1
1986-09-01,11.18,66.3,3.21,11.56,54.92
1986-10-01,15.05,67.41,2.9,10.44,102.56
1986-11-01,18.6,47.95,3.9,14.05,37.67
1986-12-01,22.71,42.78,4.17,15.02,41.74
1987-01-01,25.13,43.19,3.97,14.29,48.15
1987-02-01,24.77,51.21,4.18,15.06,57.84
1987-03-01,19.11,62.95,3.52,12.66,74.97
1987-04-01,16.24,63.07,3.16,11.36,34.86
1987-05-01,8.71,74.39,3.18,11.44,24.02
1987-06-01,7.96,74.92,3.24,11.68,32.14
1987-07-01,8.65,78.31,3.1,11.14,36.13
1987-08-01,7.92,77.78,3.09,11.14,61.11
1987-09-01,9.98,68.42,3.17,11.42,36.5
1987-10-01,15.3,64.11,2.95,10.61,71.48
1987-11-01,19.42,57.2,3.26,11.73,46.26
1987-12-01,21.72,44.28,3.93,14.16,24.01
1988-01-01,23.59,39.02,3.81,13.72,47.26
1988-02-01,23.06,54.48,3.33,11.99,99.94
1988-03-01,18.96,72.54,3.07,11.03,162.46
1988-04-01,13.03,67.84,3.16,11.37,31.66
1988-05-01,8.55,72.68,2.82,10.16,5.46
1988-06-01,7.6,73.13,3.21,11.57,3.41
1988-07-01,5.68,71.12,3.24,11.67,10.47
1988-08-01,8.86,65.13,3.36,12.09,15.69
1988-09-01,11.23,63.83,3.46,12.45,108.22
1988-10-01,13.24,58.38,3.65,13.15,39.99
1988-11-01,20.42,45.31,3.56,12.83,55.13
1988-12-01,23.97,36.38,3.88,13.97,30.44
1989-01-01,25.68,36.9,4.06,14.63,29.29
1989-02-01,24.6,47.52,3.67,13.23,55.72
1989-03-01,19.27,57.35,3.31,11.93,74.3
1989-04-01,15.95,55.33,3.55,12.77,17.2
1989-05-01,11.06,71.08,3.04,10.93,60.65
1989-06-01,8.86,76.82,2.99,10.76,18.36
1989-07-01,7.14,79.49,3.54,12.76,79.72
1989-08-01,9.97,75.76,3.36,12.09,82.46
1989-09-01,9.41,73.77,2.99,10.77,102.56
1989-10-01,14.2,63.76,3.16,11.39,36.7
1989-11-01,19.46,51.7,3.58,12.88,53.18
1989-12-01,24.3,51.22,3.33,11.97,129.16
1990-01-01,24.61,46.02,3.87,13.94,112.27
1990-02-01,22.56,61.83,3.02,10.86,28.45
1990-03-01,18.73,61.91,3.26,11.75,75.32
1990-04-01,13.94,62.67,2.97,10.69,22.26
1990-05-01,9.74,74.19,3.01,10.84,58.38
1990-06-01,6.86,70.71,3.66,13.17,3.24
1990-07-01,7.03,75.93,3.62,13.03,21.55
1990-08-01,10.85,69.75,3.54,12.74,47.52
1990-09-01,10.81,64.05,3.52,12.67,32.69
1990-10-01,16.97,58.13,3.48,12.54,72.97
1990-11-01,20.08,49.04,4.06,14.61,72.12
1990-12-01,22.11,48.43,4.29,15.44,71.73
1991-01-01,24.53,48.41,3.98,14.34,70.04
1991-02-01,22.45,49.86,3.5,12.61,34.74
1991-03-01,20.59,56.79,3.37,12.14,78.78
1991-04-01,15.26,68.64,3.15,11.33,100.29
1991-05-01,11.79,78.67,2.71,9.76,39.53
1991-06-01,6.43,85.85,3.01,10.85,68.29
1991-07-01,6.03,82.38,3.0,10.8,18.62
1991-08-01,8.43,80.43,3.11,11.18,46.86
1991-09-01,11.5,75.4,3.27,11.76,102.1
1991-10-01,13.16,65.42,3.26,11.73,36.81
1991-11-01,19.36,56.4,3.48,12.51,37.64
1991-12-01,21.58,46.59,4.21,15.15,82.9
1992-01-01,23.26,58.57,3.49,12.57,151.72
1992-02-01,22.26,55.48,3.46,12.46,80.59
1992-03-01,21.08,64.52,3.5,12.61,74.55
1992-04-01,14.55,64.89,3.28,11.79,49.72
1992-05-01,9.35,76.66,3.48,12.54,71.79
1992-06-01,7.16,87.1,2.57,9.27,159.04
1992-07-01,3.78,87.95,2.85,10.26,26.86
1992-08-01,8.46,77.92,3.3,11.89,65.96
1992-09-01,10.81,76.11,3.34,12.03,81.08
1992-10-01,14.02,60.46,3.29,11.84,31.59
1992-11-01,16.54,60.1,3.28,11.8,73.79
1992-12-01,20.29,60.69,3.56,12.82,143.75
1993-01-01,23.02,53.28,3.45,12.42,64.3
1993-02-01,23.8,49.56,3.91,14.08,30.52
1993-03-01,21.22,59.98,3.42,12.3,59.07
1993-04-01,14.43,72.17,3.24,11.66,96.03
1993-05-01,9.3,79.85,3.21,11.56,109.42
1993-06-01,7.26,84.76,3.23,11.63,82.89
1993-07-01,4.64,81.05,2.83,10.2,2.04
1993-08-01,8.41,73.32,3.06,11.02,7.32
1993-09-01,10.9,67.42,2.77,9.96,32.05
1993-10-01,15.08,60.95,3.0,10.81,48.2
1993-11-01,17.26,59.77,2.94,10.57,128.87
1993-12-01,22.09,45.87,3.89,14.0,51.32
1994-01-01,24.17,47.41,3.85,13.88,57.01
1994-02-01,22.89,44.32,3.96,14.24,41.67
1994-03-01,21.2,57.72,3.67,13.22,81.96
1994-04-01,14.81,63.14,3.24,11.66,16.84
1994-05-01,11.49,70.46,2.93,10.56,84.06
1994-06-01,8.49,74.14,3.62,13.02,21.39
1994-07-01,6.16,75.87,3.32,11.96,40.09
1994-08-01,7.93,70.92,3.38,12.16,46.39
1994-09-01,11.43,62.84,3.15,11.35,16.42
1994-10-01,14.41,59.83,3.14,11.31,34.49
1994-11-01,20.15,46.4,3.36,12.09,88.95
1994-12-01,23.45,53.62,3.54,12.75,134.09
1995-01-01,22.97,44.39,4.0,14.4,52.94
1995-02-01,21.75,50.98,3.7,13.33,42.36
1995-03-01,18.66,56.82,3.45,12.41,102.54
1995-04-01,14.56,68.0,2.81,10.12,65.45
1995-05-01,10.74,68.18,2.71,9.76,3.02
1995-06-01,6.88,67.31,3.45,12.41,4.27
1995-07-01,6.18,58.92,3.5,12.61,1.26
1995-08-01,8.04,57.68,3.42,12.3,9.46
1995-09-01,11.87,49.92,3.4,12.25,5.29
1995-10-01,14.74,52.69,3.43,12.34,50.66
1995-11-01,19.3,52.12,3.46,12.46,88.45
1995-12-01,23.37,45.1,3.7,13.33,76.42
1996-01-01,22.74,44.55,3.79,13.63,37.05
1996-02-01,21.65,44.79,4.15,14.95,67.61
1996-03-01,20.39,50.97,3.25,11.71,34.82
1996-04-01,14.17,68.07,3.04,10.95,82.01
1996-05-01,11.32,73.65,2.78,10.02,44.2
1996-06-01,5.7,77.52,2.8,10.08,8.76
1996-07-01,5.88,75.97,2.95,10.6,17.47
1996-08-01,10.01,68.84,3.31,11.91,57.38
1996-09-01,10.87,60.14,3.23,11.62,24.21
1996-10-01,15.74,60.63,3.1,11.16,82.73
1996-11-01,19.99,47.03,3.39,12.19,55.36
1996-12-01,19.87,61.67,3.72,13.4,177.04
1997-01-01,24.63,50.67,3.34,12.03,96.0
1997-02-01,21.04,51.05,4.39,15.8,68.23
1997-03-01,19.44,65.81,2.98,10.72,133.95
1997-04-01,15.56,64.47,3.42,12.31,30.56
1997-05-01,12.7,72.26,2.93,10.54,30.93
1997-06-01,8.09,86.6,3.36,12.08,143.6
1997-07-01,7.65,85.66,2.99,10.76,80.68
1997-08-01,8.53,77.72,2.98,10.73,6.2
1997-09-01,10.02,72.77,2.72,9.79,64.78
1997-10-01,13.89,68.45,3.12,11.22,78.05
1997-11-01,17.98,55.03,3.48,12.51,36.14
1997-12-01,20.4,51.97,4.05,14.58,67.13
1998-01-01,22.41,51.15,4.08,14.69,133.3
1998-02-01,19.64,63.79,3.83,13.8,123.62
1998-03-01,18.11,60.87,3.28,11.82,65.95
1998-04-01,14.78,74.0,3.17,11.4,46.27
1998-05-01,12.12,79.57,2.47,8.9,3.34
1998-06-01,8.42,78.51,2.83,10.18,14.18
1998-07-01,9.57,72.24,3.25,11.7,1.39
1998-08-01,9.94,59.94,3.46,12.45,20.85
1998-09-01,10.91,57.98,3.74,13.46,59.28
1998-10-01,17.93,46.55,3.69,13.28,6.75
1998-11-01,19.86,49.0,3.33,11.98,68.06
1998-12-01,22.84,41.81,3.73,13.43,35.34
1999-01-01,23.08,43.94,3.99,14.37,96.03
1999-02-01,22.83,51.03,3.72,13.38,88.33
1999-03-01,18.27,71.87,2.84,10.23,126.46
1999-04-01,13.34,67.4,2.8,10.07,16.37
1999-05-01,10.1,76.93,3.06,11.03,51.53
1999-06-01,5.79,82.83,2.74,9.85,12.1
1999-07-01,6.29,78.25,3.72,13.4,18.84
1999-08-01,9.21,70.38,3.14,11.3,32.35
1999-09-01,12.36,65.62,3.57,12.86,33.34
1999-10-01,16.0,57.38,3.25,11.69,32.89
1999-11-01,19.23,54.29,3.4,12.23,72.42
1999-12-01,22.57,48.81,3.35,12.07,44.82
2000-01-01,25.55,41.62,3.72,13.4,77.54
2000-02-01,21.75,56.66,3.34,12.01,128.13
2000-03-01,18.39,61.58,3.36,12.1,61.54
2000-04-01,15.09,67.09,2.7,9.73,19.95
2000-05-01,10.56,80.72,2.98,10.72,69.43
2000-06-01,8.18,81.75,3.21,11.57,15.02
2000-07-01,5.28,79.17,3.86,13.89,17.55
2000-08-01,7.06,72.2,3.33,11.98,21.44
