year,phase,Nino
1950,Nina,-1
1951,Nino,1
1952,Nino,1
1953,Nino,1
1954,Nina,-1
1955,Nina,-1
1956,Nina,-1
1957,Nino,1
1958,Nino,1
1959,Nino,1
1960,Neutral,0
1961,Neutral,0
1962,Neutral,0
1963,Nino,1
1964,Nino,1
1965,Nino,1
1966,Nino,1
1967,Neutral,0
1968,Nino,1
1969,Nino,1
1970,Nina,-1
1971,Nina,-1
1972,Nino,1
1973,Nina,-1
1974,Nina,-1
1975,Nina,-1
1976,Nina,-1
1977,Nino,1
1978,Nino,1
1979,Neutral,0
1980,Neutral,0
1981,Neutral,0
1982,Nino,1
1983,Nino,1
1984,Nina,-1
1985,Nina,-1
1986,Nino,1
1987,Nino,1
1988,Nina,-1
1989,Nina,-1
1990,Neutral,0
1991,Nino,1
1992,Nino,1
1993,Neutral,0
1994,Nino,1
1995,Nina,-1
1996,Nina,-1
1997,Nino,1
1998,Nino,1
1999,Nina,-1
2000,Nina,-1
2001,Nina,-1
2002,Nino,1
2003,Nino,1
2004,Nino,1
2005,Nina,-1
2006,Nino,1
2007,Nina,-1
2008,Nina,-1
2009,Nino,1
2010,Nina,-1
2011,Nina,-1
2012,Nina,-1
2013,Neutral,0
2014,Neutral,0
2015,Nino,1
2016,Nino,1
2017,Nina,-1
2018,Nina,-1
2019,Nino,1
2020,Nina,-1
2021,Nina,-1
2022,Nina,-1
2023,Nino,1
2024,Nino,1
2025,Nina,-1
