year,season,trimester,phase,Nino
1950,DJF,1,Nina,-1
1950,JFM,2,Nina,-1
1950,FMA,3,Nina,-1
1950,MAM,4,Nina,-1
1950,AMJ,5,Nina,-1
1950,MJJ,6,Nina,-1
1950,JJA,7,Nina,-1
1950,JAS,8,Neutral,0
1950,ASO,9,Neutral,0
1950,SON,10,Neutral,0
1950,OND,11,Neutral,0
1950,NDJ,12,Neutral,0
1951,DJF,1,Neutral,0
1951,JFM,2,Neutral,0
1951,FMA,3,Neutral,0
1951,MAM,4,Neutral,0
1951,AMJ,5,Neutral,0
1951,MJJ,6,Nino,1
1951,JJA,7,Nino,1
1951,JAS,8,Nino,1
1951,ASO,9,Nino,1
1951,SON,10,Nino,1
1951,OND,11,Nino,1
1951,NDJ,12,Nino,1
1952,DJF,1,Nino,1
1952,JFM,2,Neutral,0
1952,FMA,3,Neutral,0
1952,MAM,4,Neutral,0
1952,AMJ,5,Neutral,0
1952,MJJ,6,Neutral,0
1952,JJA,7,Neutral,0
1952,JAS,8,Neutral,0
1952,ASO,9,Neutral,0
1952,SON,10,Neutral,0
1952,OND,11,Neutral,0
1952,NDJ,12,Neutral,0
1953,DJF,1,Neutral,0
1953,JFM,2,Nino,1
1953,FMA,3,Nino,1
1953,MAM,4,Nino,1
1953,AMJ,5,Nino,1
1953,MJJ,6,Nino,1
1953,JJA,7,Nino,1
1953,JAS,8,Nino,1
1953,ASO,9,Nino,1
1953,SON,10,Nino,1
1953,OND,11,Nino,1
1953,NDJ,12,Nino,1
1954,DJF,1,Nino,1
1954,JFM,2,Neutral,0
1954,FMA,3,Neutral,0
1954,MAM,4,Neutral,0
1954,AMJ,5,Nina,-1
1954,MJJ,6,Nina,-1
1954,JJA,7,Nina,-1
1954,JAS,8,Nina,-1
1954,ASO,9,Nina,-1
1954,SON,10,Nina,-1
1954,OND,11,Nina,-1
1954,NDJ,12,Nina,-1
1955,DJF,1,Nina,-1
1955,JFM,2,Nina,-1
1955,FMA,3,Nina,-1
1955,MAM,4,Nina,-1
1955,AMJ,5,Nina,-1
1955,MJJ,6,Nina,-1
1955,JJA,7,Nina,-1
1955,JAS,8,Nina,-1
1955,ASO,9,Nina,-1
1955,SON,10,Nina,-1
1955,OND,11,Nina,-1
1955,NDJ,12,Nina,-1
1956,DJF,1,Nina,-1
1956,JFM,2,Nina,-1
1956,FMA,3,Nina,-1
1956,MAM,4,Nina,-1
1956,AMJ,5,Nina,-1
1956,MJJ,6,Nina,-1
1956,JJA,7,Nina,-1
1956,JAS,8,Nina,-1
1956,ASO,9,Neutral,0
1956,SON,10,Neutral,0
1956,OND,11,Neutral,0
1956,NDJ,12,Neutral,0
1957,DJF,1,Neutral,0
1957,JFM,2,Neutral,0
1957,FMA,3,Neutral,0
1957,MAM,4,Nino,1
1957,AMJ,5,Nino,1
1957,MJJ,6,Nino,1
1957,JJA,7,Nino,1
1957,JAS,8,Nino,1
1957,ASO,9,Nino,1
1957,SON,10,Nino,1
