cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
cebada,1938,25 de Mayo,3500,2800,3852,1376
cebada,1938,9 de Julio,2000,1600,1968,1230
cebada,1938,Adolfo Alsina,50000,38000,22800,600
cebada,1938,Adolfo Gonzales Chaves,38000,28000,22960,820
cebada,1938,Alberti,300,250,430,1720
cebada,1938,Almirante Brown,80,0,0,0
cebada,1938,Arrecifes,500,300,465,1550
cebada,1938,Ayacucho,1500,1100,1342,1220
cebada,1938,Azul,5000,3800,4560,1200
cebada,1938,Bahía Blanca,10000,4000,1680,420
cebada,1938,Balcarce,4600,3200,3840,1200
cebada,1938,Baradero,250,150,210,1400
cebada,1938,Benito Juárez,7000,5000,6050,1210
cebada,1938,Bolívar,11500,9400,11160,1187
cebada,1938,Bragado,1000,900,1269,1410
cebada,1938,Brandsen,100,100,95,950
cebada,1938,Campana,200,40,64,1600
cebada,1938,Cañuelas,650,450,405,900
cebada,1938,Carlos Casares,4500,3200,4800,1500
cebada,1938,Carlos Tejedor,5000,4000,4000,1000
cebada,1938,Carmen de Areco,500,400,608,1520
cebada,1938,Caseros,8800,6700,7494,1119
cebada,1938,Castelli,100,100,100,1000
cebada,1938,Chacabuco,1500,1200,1440,1200
cebada,1938,Chascomús,600,400,460,1150
cebada,1938,Chivilcoy,400,300,330,1100
cebada,1938,Colón,170,170,245,1441
cebada,1938,Coronel Dorrego,35500,25500,17850,700
cebada,1938,Coronel Pringles,24400,17400,14094,810
cebada,1938,Coronel Suárez,33500,23500,24205,1030
cebada,1938,Dolores,100,100,80,800
cebada,1938,Esteban Echeverría,200,150,180,1200
cebada,1938,Exaltación de la Cruz,500,450,540,1200
cebada,1938,Florencio Varela,100,70,56,800
cebada,1938,General Alvarado,1000,850,1009,1187
cebada,1938,General Alvear,3700,2900,2650,914
cebada,1938,General Arenales,240,240,348,1450
cebada,1938,General Belgrano,350,200,200,1000
cebada,1938,General Juan Madariaga,250,200,199,995
cebada,1938,General La Madrid,10700,8400,8400,1000
cebada,1938,General Las Heras,400,250,275,1100
cebada,1938,General Paz,400,380,475,1250
cebada,1938,General Pinto,3800,3300,3300,1000
cebada,1938,General Pueyrredón,800,650,793,1220
cebada,1938,General Rodríguez,50,0,0,0
cebada,1938,General Viamonte,700,650,812,1249
cebada,1938,General Villegas,5000,3500,2100,600
cebada,1938,Guaminí,17800,13400,10988,820
cebada,1938,José C. Paz,200,50,65,1300
cebada,1938,Junín,880,880,1276,1450
cebada,1938,La Matanza,50,0,0,0
cebada,1938,La Plata,600,300,360,1200
cebada,1938,Laprida,4000,3100,2480,800
cebada,1938,Las Conchas,20,0,0,0
cebada,1938,Las Flores,4000,3200,4160,1300
cebada,1938,Leandro N. Alem,1030,1030,1854,1800
cebada,1938,Lincoln,3200,2900,4118,1420
cebada,1938,Lobería,18000,13000,9230,710
cebada,1938,Lobos,1200,1000,1600,1600
cebada,1938,Lomas de Zamora,10,0,0,0
cebada,1938,Luján,400,300,375,1250
cebada,1938,Magdalena,300,200,140,700
cebada,1938,Maipú,100,100,80,800
cebada,1938,Mar Chiquita,1600,1100,1122,1020
cebada,1938,Marcos Paz,114,44,48,1091
cebada,1938,Mercedes,200,200,320,1600
cebada,1938,Merlo,100,50,45,900
cebada,1938,Monte,300,200,180,900
cebada,1938,Moreno,150,100,120,1200
cebada,1938,Navarro,500,350,633,1809
cebada,1938,Necochea,50000,35000,35000,1000
cebada,1938,Olavarría,6800,5600,7688,1373
cebada,1938,Patagones,7000,1000,360,360
cebada,1938,Pehuajó,18000,14000,16800,1200
cebada,1938,Pellegrini,13000,8700,4350,500
cebada,1938,Pergamino,460,460,561,1220
cebada,1938,Pila,60,45,49,1089
cebada,1938,Pilar,300,100,105,1050
cebada,1938,Puán,40000,18000,8100,450
cebada,1938,Quilmes,10,4,3,750
cebada,1938,Ramallo,300,150,150,1000
cebada,1938,Rauch,1000,750,840,1120
cebada,1938,Rivadavia,12000,8200,5740,700
cebada,1938,Rojas,420,420,613,1460
cebada,1938,Roque Pérez,1000,900,1188,1320
cebada,1938,Saavedra,18000,13000,7800,600
cebada,1938,Saladillo,3000,2200,3080,1400
cebada,1938,Salto,200,100,143,1430
cebada,1938,San Andrés de Giles,300,200,300,1500
cebada,1938,San Antonio de Areco,200,50,51,1020
cebada,1938,San Nicolás,300,150,90,600
cebada,1938,San Pedro,300,250,380,1520
cebada,1938,San Vicente,80,40,40,1000
cebada,1938,Suipacha,400,200,300,1500
cebada,1938,Tandil,7000,6000,8400,1400
cebada,1938,Tapalqué,3000,2800,3108,1110
cebada,1938,Tornquist,17500,4500,1800,400
cebada,1938,Trenque Lauquen,16500,11000,7700,700
cebada,1938,Tres Arroyos,60000,44000,35200,800
cebada,1938,Vecino,100,100,81,810
cebada,1938,Villarino,12000,1000,420,420
cebada,1938,Zárate,200,150,211,1407
cebada,1938,Ambato,15,0,0,0
cebada,1938,Ancasti,10,0,0,0
cebada,1938,Andalgalá,80,0,0,0
cebada,1938,Belén,100,0,0,0
cebada,1938,Capayán,50,0,0,0
cebada,1938,Capital,100,0,0,0
cebada,1938,El Alto,30,0,0,0
cebada,1938,Fray Mamerto Esquiú,110,0,0,0
cebada,1938,La Paz,15,0,0,0
cebada,1938,Paclín,35,0,0,0
cebada,1938,Pomán,30,0,0,0
cebada,1938,Santa María,100,0,0,0
cebada,1938,Santa Rosa,50,0,0,0
cebada,1938,Tinogasta,200,0,0,0
cebada,1938,Valle Viejo,75,0,0,0
cebada,1938,Cushamen,180,110,80,727
cebada,1938,Escalante,50,30,25,833
cebada,1938,Futaleufú,450,210,205,976
cebada,1938,Gaiman,90,50,45,900
cebada,1938,Languiñeo,30,20,15,750
cebada,1938,Sarmiento,100,80,80,1000
cebada,1938,Calamuchita,1800,1180,1077,913
cebada,1938,Capital,200,100,120,1200
cebada,1938,Colón,450,110,60,545
cebada,1938,Cruz del Eje,200,20,10,500
cebada,1938,General Roca,7150,4650,2790,600
cebada,1938,General San Martín,2000,1000,850,850
cebada,1938,Ischilín,200,20,10,500
cebada,1938,Juárez Celman,6700,2700,2130,789
cebada,1938,Marcos Juárez,2800,1000,1010,1010
cebada,1938,Minas,60,20,10,500
cebada,1938,Pocho,60,20,10,500
cebada,1938,Presidente Roque Sáenz Peña,4000,1000,600,600
cebada,1938,Punilla,60,10,4,400
cebada,1938,Río Cuarto,2500,2200,1910,868
cebada,1938,Río Primero,700,500,260,520
cebada,1938,Río Seco,100,40,20,500
cebada,1938,Río Segundo,700,500,400,800
cebada,1938,San Alberto,250,50,20,400
cebada,1938,San Javier,500,100,52,520
cebada,1938,San Justo,2500,1800,1620,900
cebada,1938,Santa María,350,170,136,800
cebada,1938,Sobremonte,100,40,20,500
cebada,1938,Totoral,300,120,60,500
cebada,1938,Tulumba,400,80,40,500
cebada,1938,Unión,3000,2000,1840,920
cebada,1938,Curuzu Cuatia,50,0,0,0
cebada,1938,Esquina,200,0,0,0
cebada,1938,Goya,20,0,0,0
cebada,1938,Mercedes,80,0,0,0
cebada,1938,Monte Caseros,110,0,0,0
cebada,1938,Paso de los Libres,20,0,0,0
cebada,1938,San Martín,50,0,0,0
cebada,1938,Colón,150,100,112,1120
cebada,1938,Concordia,100,100,101,1010
cebada,1938,Diamante,500,500,665,1330
cebada,1938,Gualeguay,150,100,132,1320
cebada,1938,Gualeguaychú,1000,900,855,950
cebada,1938,La Paz,300,300,276,920
cebada,1938,Nogoyá,800,600,552,920
cebada,1938,Paraná,630,630,630,1000
cebada,1938,Tala,400,350,350,1000
cebada,1938,Uruguay,500,450,450,1000
cebada,1938,Victoria,150,150,165,1100
cebada,1938,Villaguay,600,550,660,1200
cebada,1938,El Carmen,180,150,160,1067
cebada,1938,Humahuaca,200,175,170,971
cebada,1938,La Capital,350,320,320,1000
cebada,1938,Ledesma,100,80,76,950
cebada,1938,San Antonio,30,25,25,1000
cebada,1938,San Pedro,210,180,180,1000
cebada,1938,Santa Bárbara,20,17,16,941
cebada,1938,Tilcara,200,170,165,971
cebada,1938,Tumbaya,330,290,290,1000
cebada,1938,Yaví,20,15,20,1333
cebada,1938,Atreucó,7000,2450,855,349
cebada,1938,Caleu Caleu,200,0,0,0
cebada,1938,Capital,7000,3500,2100,600
cebada,1938,Catriló,2500,1750,1050,600
cebada,1938,Chapaleufú,6000,4800,2448,510
cebada,1938,Conhelo,14500,10880,6310,580
cebada,1938,Guatraché,12000,4000,800,200
cebada,1938,Hucal,18000,3600,1008,280
cebada,1938,Lihuel Calel,50,50,20,400
cebada,1938,Loventué,200,50,11,220
cebada,1938,Maracó,7200,4600,1840,400
cebada,1938,Puelén,50,0,0,0
cebada,1938,Quemú Quemú,14000,9100,5915,650
cebada,1938,Rancul,6000,4000,2480,620
cebada,1938,Realicó,11500,9500,4750,500
cebada,1938,Toay,1700,850,425,500
cebada,1938,Trenel,10500,5250,1837,350
cebada,1938,Utracán,1200,240,45,188
cebada,1938,Arauco,30,0,0,0
cebada,1938,Capital,80,0,0,0
cebada,1938,Castro Barros,35,0,0,0
cebada,1938,Chilecito,90,0,0,0
cebada,1938,Coronel Felipe Varela,80,0,0,0
cebada,1938,Famatina,15,0,0,0
cebada,1938,General íngel V. Peñaloza,10,0,0,0
cebada,1938,General Belgrano,20,0,0,0
cebada,1938,General Juan F. Quiroga,10,0,0,0
cebada,1938,General Lamadrid,90,0,0,0
cebada,1938,General Ocampo,25,0,0,0
cebada,1938,General San Martín,10,0,0,0
cebada,1938,San Blas de Los Sauces,100,0,0,0
cebada,1938,Sanagasta,35,0,0,0
cebada,1938,Vinchina,70,0,0,0
cebada,1938,General Alvear,1900,1850,1800,973
cebada,1938,Guaymallén,100,100,95,950
cebada,1938,Junín,200,200,190,950
cebada,1938,La Paz,30,30,30,1000
cebada,1938,Las Heras,180,180,165,917
cebada,1938,Lavalle,900,878,859,978
cebada,1938,Luján de Cuyo,700,690,650,942
cebada,1938,Maipú,50,50,45,900
cebada,1938,Rivadavia,200,200,180,900
