cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
centeno,1923,Adolfo Alsina,9600,9400.0,6204.0,600.0
centeno,1923,Adolfo Gonzales Chaves,200,182.0,167.0,920.0
centeno,1923,Azul,100,80.0,77.0,960.0
centeno,1923,Bahóa Blanca,200,190.0,148.0,780.0
centeno,1923,Baradero,5,5.0,4.0,820.0
centeno,1923,Benito Juórez,100,87.0,57.0,660.0
centeno,1923,Bolóvar,700,690.0,400.0,590.0
centeno,1923,Bragado,100,90.0,45.0,500.0
centeno,1923,Carlos Casares,900,880.0,616.0,700.0
centeno,1923,Carlos Tejedor,800,750.0,495.0,660.0
centeno,1923,Carmen de Areco,10,9.0,4.0,500.0
centeno,1923,Coronel Dorrego,1060,1046.0,649.0,620.0
centeno,1923,Coronel Pringles,500,474.0,365.0,770.0
centeno,1923,Coronel Suórez,2500,2000.0,1200.0,600.0
centeno,1923,Chacabuco,500,456.0,355.0,780.0
centeno,1923,Chivilcoy,100,80.0,68.0,850.0
centeno,1923,Daireaux,3000,2800.0,2548.0,910.0
centeno,1923,General Alvarado,10,5.0,4.0,720.0
centeno,1923,General Arenales,40,38.0,29.0,760.0
centeno,1923,General La Madrid,100,85.0,56.0,660.0
centeno,1923,General Pinto,800,770.0,554.0,720.0
centeno,1923,General Viamonte,200,180.0,126.0,700.0
centeno,1923,General Villegas,3600,3500.0,3150.0,900.0
centeno,1923,Guaminó,3000,2800.0,1960.0,910.0
centeno,1923,Junón,300,282.0,197.0,700.0
centeno,1923,Laprida,150,138.0,101.0,730.0
centeno,1923,Las Flores,10,10.0,12.0,1210.0
centeno,1923,Leandro N. Alem,500,480.0,336.0,700.0
centeno,1923,Lincoln,2000,1900.0,1045.0,550.0
centeno,1923,Necochea,350,340.0,251.0,740.0
centeno,1923,9 de Julio,500,475.0,342.0,720.0
centeno,1923,Olavarróa,100,80.0,74.0,920.0
centeno,1923,Patagones,300,250.0,175.0,700.0
centeno,1923,Pehuajó,2000,1907.0,1258.0,660.0
centeno,1923,Pellegrini,5600,5500.0,4290.0,780.0
centeno,1923,Pergamino,20,20.0,22.0,1100.0
centeno,1923,Puón,5800,5700.0,3420.0,620.0
centeno,1923,Rivadavia,2600,2500.0,1750.0,700.0
centeno,1923,Saavedra,2000,1950.0,1170.0,600.0
centeno,1923,Salto,5,5.0,2.0,500.0
centeno,1923,San Nicolós,20,18.0,14.0,800.0
centeno,1923,Tandil,200,193.0,193.0,1000.0
centeno,1923,Tapalquó,40,,,
centeno,1923,Tornquist,1600,1500.0,1455.0,970.0
centeno,1923,Trenque Lauquen,3500,3313.0,2186.0,660.0
centeno,1923,Tres Arroyos,1080,1065.0,852.0,800.0
centeno,1923,25 de Mayo,300,200.0,164.0,820.0
centeno,1923,Villarino,3000,2844.0,2019.0,710.0
centeno,1923,Calamuchita,400,360.0,288.0,800.0
centeno,1923,General Roca,4600,4550.0,2593.0,570.0
centeno,1923,Tercero Abajo,1400,1400.0,938.0,670.0
centeno,1923,Juórez Celman,4650,4630.0,3287.0,710.0
centeno,1923,Marcos Juórez,650,630.0,403.0,640.0
centeno,1923,Róo Cuarto,6200,6060.0,4363.0,720.0
centeno,1923,Róo Primero,200,190.0,80.0,420.0
