cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
girasol,1969,25 de Mayo,30000,30000,22500,750
girasol,1969,9 de Julio,50000,50000,41316,826
girasol,1969,Adolfo Alsina,10000,10000,9000,900
girasol,1969,Adolfo Gonzales Chaves,1500,1350,1147,850
girasol,1969,Alberti,14000,14000,12600,900
girasol,1969,Arrecifes,2400,2250,2500,1111
girasol,1969,Ayacucho,14000,13300,8645,650
girasol,1969,Azul,11000,9900,7425,750
girasol,1969,Balcarce,3000,3000,2700,900
girasol,1969,Baradero,5500,5300,4900,925
girasol,1969,Benito Juárez,1500,1350,1215,900
girasol,1969,Bolívar,34000,34000,34000,1000
girasol,1969,Bragado,30000,30000,27000,900
girasol,1969,Brandsen,500,470,376,800
girasol,1969,Campana,700,700,560,800
girasol,1969,Cañuelas,1500,1450,1232,850
girasol,1969,Capitán Sarmiento,1500,1450,1600,1103
girasol,1969,Carlos Casares,33000,33000,33000,1000
girasol,1969,Carlos Tejedor,20000,10000,7300,730
girasol,1969,Carmen de Areco,2500,2400,2900,1208
girasol,1969,Castelli,3500,3500,2500,714
girasol,1969,Chacabuco,13000,13000,12350,950
girasol,1969,Chascomús,3500,3500,2800,800
girasol,1969,Chivilcoy,19000,19000,15200,800
girasol,1969,Colón,2500,2500,2250,900
girasol,1969,Coronel Dorrego,1000,880,704,800
girasol,1969,Coronel Pringles,3000,2700,2278,844
girasol,1969,Coronel Suárez,27000,27000,32400,1200
girasol,1969,Daireaux,9000,9000,10800,1200
girasol,1969,Dolores,2000,2000,1400,700
girasol,1969,Esteban Echeverría,10,10,8,800
girasol,1969,Exaltación de la Cruz,700,700,700,1000
girasol,1969,General Alvarado,3000,3000,2900,967
girasol,1969,General Alvear,14000,14000,9800,700
girasol,1969,General Arenales,20000,20000,17000,850
girasol,1969,General Belgrano,8000,7500,6375,850
girasol,1969,General Guido,1700,1700,1300,765
girasol,1969,General Juan Madariaga,1200,1200,960,800
girasol,1969,General La Madrid,30000,30000,33000,1100
girasol,1969,General Las Heras,500,450,360,800
girasol,1969,General Paz,1600,1540,1386,900
girasol,1969,General Pinto,4000,4000,3000,750
girasol,1969,General Pueyrredón,500,500,450,900
girasol,1969,General Rodríguez,200,200,180,900
girasol,1969,General Viamonte,30000,30000,25500,850
girasol,1969,General Villegas,3000,2000,1200,600
girasol,1969,Guaminí,16000,16000,16000,1000
girasol,1969,Hipólito Yrigoyen,24000,22000,21400,973
girasol,1969,Junín,18000,17000,13600,800
girasol,1969,La Matanza,90,90,72,800
girasol,1969,La Plata,50,50,42,840
girasol,1969,Laprida,15000,13400,11390,850
girasol,1969,Las Flores,11500,10810,8107,750
girasol,1969,Leandro N. Alem,6000,6000,5400,900
girasol,1969,Lincoln,16000,16000,11200,700
girasol,1969,Lobería,16000,16000,15000,938
girasol,1969,Lobos,4200,4000,3600,900
girasol,1969,Luján,2000,2000,1800,900
girasol,1969,Magdalena,2800,2700,2295,850
girasol,1969,Maipú,1100,1100,830,755
girasol,1969,Mar Chiquita,7500,7500,6000,800
girasol,1969,Marcos Paz,100,90,72,800
girasol,1969,Mercedes,3500,3400,3230,950
girasol,1969,Monte,7500,7000,6300,900
girasol,1969,Navarro,3000,2900,2610,900
girasol,1969,Necochea,6500,5900,5605,950
girasol,1969,Olavarría,11000,11000,11000,1000
girasol,1969,Pehuajó,37000,33000,32100,973
girasol,1969,Pellegrini,7500,7500,6000,800
girasol,1969,Pergamino,10000,9800,10800,1102
girasol,1969,Pila,1500,1500,1100,733
girasol,1969,Pilar,200,200,180,900
girasol,1969,Ramallo,9000,8800,9000,1023
girasol,1969,Rauch,15000,14250,9262,650
girasol,1969,Rivadavia,5000,2000,1000,500
girasol,1969,Rojas,11000,9500,8100,853
girasol,1969,Roque Pérez,17500,16500,15675,950
girasol,1969,Saavedra,3000,3000,3600,1200
girasol,1969,Saladillo,25000,25000,21250,850
girasol,1969,Salliqueló,2000,2000,2000,1000
girasol,1969,Salto,9000,8850,10525,1189
