cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
manó,1927,Campo del Cielo,4213.0,4213.0,3160.0,750.0
manó,1927,Napalpó,465.0,465.0,348.0,750.0
manó,1927,Resistencia,192.0,192.0,144.0,750.0
manó,1927,Coronel Martónez de Hoz,71.0,71.0,53.0,750.0
manó,1927,Bermejo,36.0,36.0,27.0,750.0
manó,1927,Tobas,33.0,33.0,25.0,750.0
manó,1927,Tapenagó,24.0,24.0,18.0,750.0
manó,1927,Santa Maróa,9800.0,9800.0,13720.0,1400.0
manó,1927,Róo Segundo,9200.0,9200.0,13800.0,1500.0
manó,1927,Róo Primero,1700.0,1700.0,1870.0,1100.0
manó,1927,Tercero Arriba,1100.0,1100.0,1650.0,1500.0
manó,1927,Colón,1000.0,1000.0,1300.0,1300.0
manó,1927,Capital,300.0,300.0,390.0,1300.0
manó,1927,Róo Cuarto,12.0,12.0,12.0,1000.0
manó,1927,otros departamentos,500.0,500.0,350.0,700.0
manó,1927,Monte Caseros,410.0,410.0,328.0,800.0
manó,1927,Lavalle,350.0,350.0,245.0,700.0
manó,1927,Empedrado,300.0,300.0,360.0,1200.0
manó,1927,Esquina,300.0,300.0,300.0,1000.0
manó,1927,San Cosme,260.0,260.0,260.0,1000.0
manó,1927,San Martón,200.0,200.0,180.0,900.0
manó,1927,Bella Vista,170.0,170.0,119.0,700.0
manó,1927,Ituzaingó,150.0,150.0,75.0,500.0
manó,1927,Saladas,150.0,150.0,90.0,600.0
manó,1927,San Luis del Palmar,140.0,140.0,140.0,1000.0
manó,1927,Capital,134.0,134.0,67.0,500.0
manó,1927,Curuzu Cuatia,100.0,100.0,100.0,1000.0
manó,1927,Goya,100.0,100.0,40.0,400.0
manó,1927,Santo Tomó,100.0,100.0,70.0,700.0
manó,1927,Federación,7300.0,7100.0,7810.0,1100.0
manó,1927,Concordia,3200.0,3110.0,3421.0,1100.0
manó,1927,Colón,400.0,390.0,409.0,1050.0
manó,1927,Pilcomayo,65.0,65.0,51.0,784.0
manó,1927,Laishó,44.0,44.0,35.0,800.0
manó,1927,Formosa,7.0,7.0,6.0,800.0
manó,1927,Piranó,7.0,7.0,6.0,800.0
manó,1927,Patióo,3.0,3.0,2.0,800.0
manó,1927,El Carmen,15.0,15.0,12.0,800.0
manó,1927,La Capital,10.0,10.0,8.0,800.0
manó,1927,San Pedro,5.0,5.0,5.0,1000.0
manó,1927,San Antonio,2.0,2.0,2.0,800.0
manó,1927,Apóstoles,174.0,174.0,174.0,1000.0
manó,1927,Candelaria,125.0,125.0,125.0,1000.0
manó,1927,San Ignacio,109.0,109.0,109.0,1000.0
manó,1927,San Javier,55.0,55.0,55.0,1000.0
manó,1927,Concepción,45.0,45.0,45.0,1000.0
manó,1927,Capital,21.0,21.0,21.0,1000.0
manó,1927,General Obligado,9300.0,8463.0,8675.0,1025.0
manó,1927,Garay,2650.0,2518.0,3399.0,1350.0
manó,1927,San Javier,820.0,771.0,732.0,950.0
manó,1927,Capital,100.0,80.0,64.0,800.0
manó,1927,San Justo,50.0,45.0,36.0,800.0
manó,1927,28 de Marzo,50.0,40.0,39.0,980.0
manó,1927,Mataró,20.0,15.0,16.0,1050.0
manó,1927,Mitre,19.0,15.0,16.0,1100.0
manó,1927,Moreno,10.0,10.0,10.0,1000.0
manó,1927,Róo Hondo,5.5,5.5,6.0,1150.0
manó,1927,Capital,4.0,4.0,6.0,1400.0
manó,1927,Choya,2.0,2.0,2.0,1000.0
manó,1927,La Banda,1.5,1.5,2.0,1400.0
manó,1927,Robles,1.0,1.0,1.0,1000.0
manó,1927,Burruyacó,184.0,184.0,183.0,994.0
manó,1928,Pomón,11.0,6.0,7.0,1166.0
manó,1928,Capital,10.0,6.0,9.0,1500.0
manó,1928,Paclón,7.0,5.0,5.0,1000.0
manó,1928,Santa Rosa,4.0,1.0,1.0,1000.0
manó,1928,Fray Mamerto Esquió,3.0,2.0,2.0,1000.0
manó,1928,Valle Viejo,3.0,1.0,1.0,1000.0
manó,1928,Campo del Cielo,687.0,687.0,962.0,1400.0
manó,1928,Napalpó,151.0,151.0,213.0,1410.0
manó,1928,Tapenagó,9.0,9.0,12.0,1333.0
manó,1928,Tobas,7.0,7.0,9.0,1285.0
manó,1928,Resistencia,4.0,4.0,5.0,1250.0
manó,1928,Bermejo,3.0,3.0,4.0,1333.0
manó,1928,Santa Maróa,10000.0,10000.0,5500.0,550.0
manó,1928,Róo Segundo,9500.0,9500.0,4750.0,500.0
manó,1928,Róo Primero,1600.0,1600.0,960.0,600.0
manó,1928,Tercero Arriba,1200.0,1200.0,720.0,600.0
manó,1928,Goya,700.0,700.0,490.0,700.0
manó,1928,Monte Caseros,480.0,480.0,480.0,1000.0
manó,1928,Lavalle,400.0,400.0,280.0,700.0
manó,1928,Empedrado,310.0,310.0,279.0,900.0
manó,1928,San Cosme,250.0,250.0,125.0,500.0
manó,1928,San Martón,220.0,220.0,220.0,1000.0
manó,1928,Ituzaingó,200.0,200.0,100.0,500.0
manó,1928,Saladas,200.0,200.0,140.0,700.0
manó,1928,otros departamentos,200.0,200.0,140.0,700.0
manó,1928,Bella Vista,180.0,180.0,108.0,600.0
manó,1928,Sauce,180.0,180.0,180.0,1000.0
manó,1928,Curuzu Cuatia,140.0,140.0,112.0,800.0
manó,1928,San Luis del Palmar,100.0,100.0,60.0,600.0
manó,1928,Santo Tomó,100.0,100.0,60.0,600.0
manó,1928,Federación,7600.0,7365.0,9575.0,1300.0
manó,1928,Concordia,3350.0,3250.0,3900.0,1200.0
manó,1928,Colón,420.0,405.0,445.0,1100.0
manó,1928,Pilcomayo,80.0,65.0,13.0,200.0
manó,1928,Piranó,11.0,8.0,2.0,250.0
manó,1928,Patióo,5.0,3.0,1.0,300.0
manó,1928,Apóstoles,320.0,320.0,291.0,909.0
