cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
mijo,1935,Adolfo Alsina,500,400.0,320.0,800.0
mijo,1935,Puón,400,350.0,280.0,800.0
mijo,1935,General Belgrano,1900,1400.0,2100.0,1500.0
mijo,1935,Colón,400,400.0,400.0,1000.0
mijo,1935,General San Martón,3400,2400.0,3600.0,1500.0
mijo,1935,Marcos Juórez,2880,2160.0,3240.0,1500.0
mijo,1935,Róo Primero,600,600.0,900.0,1500.0
mijo,1935,Róo Segundo,1200,1200.0,1800.0,1500.0
mijo,1935,San Justo,2000,2000.0,3000.0,1500.0
mijo,1935,Santa Maróa,400,400.0,400.0,1000.0
mijo,1935,Unión,4100,3160.0,4740.0,1500.0
mijo,1935,Capital,3,3.0,2.1,700.0
mijo,1935,Conhelo,4,4.0,2.8,700.0
mijo,1935,Maracó,2,2.0,1.4,700.0
mijo,1935,Toay,1,1.0,0.7,700.0
mijo,1935,Belgrano,60,60.0,60.0,1000.0
mijo,1935,Caseros,10,10.0,10.0,1000.0
mijo,1935,Castellanos,5150,4120.0,3502.0,850.0
mijo,1935,Iriondo,30,30.0,30.0,1000.0
mijo,1935,Capital,290,200.0,160.0,800.0
mijo,1935,Las Colonias,1330,1060.0,901.0,850.0
mijo,1935,San Cristóbal,170,140.0,119.0,850.0
mijo,1935,San Jerónimo,10,10.0,10.0,1000.0
mijo,1935,San Justo,150,120.0,102.0,850.0
mijo,1935,San Martón,270,270.0,270.0,1000.0
mijo,1936,Adolfo Alsina,2624,1415.0,683.0,483.0
mijo,1936,Bahóa Blanca,70,,,
mijo,1936,Balcarce,20,20.0,11.0,550.0
mijo,1936,Carlos Tejedor,35,,,
mijo,1936,Coronel Dorrego,23,,,
mijo,1936,Coronel Suórez,78,15.0,10.0,667.0
mijo,1936,General Arenales,1,,,
mijo,1936,General La Madrid,20,,,
mijo,1936,General Pinto,8,8.0,3.0,375.0
mijo,1936,General Villegas,162,50.0,9.0,180.0
mijo,1936,Guaminó,1,1.0,1.0,1000.0
mijo,1936,Junón,15,15.0,15.0,1000.0
mijo,1936,Magdalena,8,,,
mijo,1936,Patagones,2,,,
mijo,1936,Pehuajó,2,,,
mijo,1936,Pellegrini,24,24.0,5.0,208.0
mijo,1936,Puón,799,315.0,146.0,463.0
mijo,1936,Rivadavia,6,6.0,1.0,167.0
mijo,1936,Saavedra,38,33.0,7.0,212.0
mijo,1936,Trenque Lauquen,229,,,
mijo,1936,Caseros,10,10.0,1.0,100.0
mijo,1936,General Belgrano,925,702.0,359.0,511.0
mijo,1936,Calamuchita,20,20.0,14.0,700.0
mijo,1936,Capital,32,12.0,13.0,1083.0
mijo,1936,Cruz del Eje,2,,,
mijo,1936,General Roca,3,3.0,1.0,333.0
mijo,1936,General San Martón,1421,1178.0,964.0,818.0
mijo,1936,Juórez Celman,1066,878.0,798.0,909.0
mijo,1936,Marcos Juórez,1231,1149.0,1391.0,1210.0
mijo,1936,Róo Cuarto,666,577.0,408.0,707.0
mijo,1936,Róo Primero,1513,946.0,458.0,484.0
mijo,1936,Róo Segundo,889,662.0,546.0,825.0
mijo,1936,San Justo,5183,3998.0,4390.0,1098.0
mijo,1936,Santa Maróa,11,11.0,4.0,364.0
mijo,1936,Sobremonte,12,,,
mijo,1936,Totoral,7,,,
mijo,1936,Tulumba,3,3.0,1.0,333.0
mijo,1936,Unión,1605,1293.0,1059.0,819.0
mijo,1936,Bella Vista,2,2.0,2.0,1000.0
mijo,1936,Empedrado,19,19.0,10.0,526.0
