cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
Ajo,1969,25 de Mayo,3,3,10,3333
Ajo,1969,Adolfo Gonzales Chaves,15,15,82,5467
Ajo,1969,Alberti,5,5,7,1400
Ajo,1969,Almirante Brown,2,2,8,4000
Ajo,1969,Arrecifes,6,6,15,2500
Ajo,1969,Ayacucho,5,5,14,2800
Ajo,1969,Bahia Blanca,10,10,40,4000
Ajo,1969,Balcarce,450,450,2025,4500
Ajo,1969,Baradero,5,5,20,4000
Ajo,1969,Benito Juarez,5,5,22,4400
Ajo,1969,Berazategui,3,3,12,4000
Ajo,1969,Berisso,2,2,8,4000
Ajo,1969,Bolivar,2,2,6,3000
Ajo,1969,Brandsen,1,1,3,3000
Ajo,1969,Campana,5,5,21,4200
Ajo,1969,Canuelas,2,2,7,3500
Ajo,1969,Capitan Sarmiento,3,3,7,2333
Ajo,1969,Carmen de Areco,5,5,6,1200
Ajo,1969,Castelli,1,1,3,3000
Ajo,1969,Chacabuco,7,7,18,2571
Ajo,1969,Chascomus,1,1,3,3000
Ajo,1969,Chivilcoy,30,30,45,1500
Ajo,1969,Colon,5,5,12,2400
Ajo,1969,Coronel de Marina L Rosales,5,5,20,4000
Ajo,1969,Coronel Dorrego,15,15,83,5533
Ajo,1969,Coronel Pringles,15,15,75,5000
Ajo,1969,Coronel Suarez,2,2,8,4000
Ajo,1969,Dolores,2,2,6,3000
Ajo,1969,Esteban Echeverria,3,3,12,4000
Ajo,1969,Exaltacion de la Cruz,1,1,4,4000
Ajo,1969,Florencio Varela,3,3,12,4000
Ajo,1969,General Alvarado,7,7,31,4429
Ajo,1969,General Arenales,2,2,4,2000
Ajo,1969,General Belgrano,1,1,4,4000
Ajo,1969,General Juan Madariaga,2,2,6,3000
Ajo,1969,General la Madrid,1,1,4,4000
Ajo,1969,General Pueyrredon,28,28,126,4500
Ajo,1969,General Rodriguez,10,10,42,4200
Ajo,1969,Junin,3,3,6,2000
Ajo,1969,La Matanza,5,5,20,4000
Ajo,1969,La Plata,4,4,16,4000
Ajo,1969,Laprida,2,2,9,4500
Ajo,1969,Las Flores,5,5,15,3000
Ajo,1969,Loberia,15,15,64,4267
Ajo,1969,Lobos,1,1,4,4000
Ajo,1969,Lujan,20,20,80,4000
Ajo,1969,Magdalena,1,1,4,4000
Ajo,1969,Mar Chiquita,1,1,3,3000
Ajo,1969,Marcos Paz,3,3,12,4000
Ajo,1969,Mercedes,25,25,100,4000
Ajo,1969,Merlo,5,5,20,4000
Ajo,1969,Monte,1,1,4,4000
Ajo,1969,Moron,7,7,28,4000
Ajo,1969,Necochea,70,70,315,4500
Ajo,1969,Olavarria,100,100,600,6000
Ajo,1969,Patagones,70,70,315,4500
Ajo,1969,Pergamino,26,26,65,2500
Ajo,1969,Pilar,4,4,16,4000
Ajo,1969,Puan,1,1,4,4000
Ajo,1969,Ramallo,10,10,42,4200
Ajo,1969,Rauch,3,3,8,2667
Ajo,1969,Rojas,5,5,12,2400
Ajo,1969,Saavedra,1,1,5,5000
Ajo,1969,Saladillo,2,2,6,3000
Ajo,1969,Salto,5,5,12,2400
Ajo,1969,San Antonio de Areco,2,2,8,4000
Ajo,1969,San Cayetano,20,20,108,5400
Ajo,1969,San Nicolas,10,10,42,4200
Ajo,1969,San Pedro,15,15,66,4400
Ajo,1969,San Vicente,1,1,4,4000
Ajo,1969,Tandil,33,33,116,3515
Ajo,1969,Tornquist,4,4,14,3500
Ajo,1969,Tres Arroyos,80,80,464,5800
Ajo,1969,Villarino,4055,4055,18000,4439
Ajo,1969,Zarate,5,5,20,4000
Ajo,1969,Ambato,4,4,4,1000
Ajo,1969,Ancasti,3,3,3,1000
Ajo,1969,Andalgala,10,10,10,1000
Ajo,1969,Belen,7,7,7,1000
Ajo,1969,Capayan,9,9,9,1000
Ajo,1969,El Alto,6,6,6,1000
Ajo,1969,Fray Mamerto Esquiu,10,10,10,1000
Ajo,1969,Paclin,10,10,10,1000
Ajo,1969,Poman,7,7,7,1000
Ajo,1969,Santa Maria,10,10,10,1000
Ajo,1969,Tinogasta,8,8,8,1000
Ajo,1969,Valle Viejo,6,6,6,1000
Ajo,1969,1 de Mayo,8,6,24,4000
Ajo,1969,25 de Mayo,15,12,48,4000
Ajo,1969,Bermejo,8,6,24,4000
Ajo,1969,Comandante Fernandez,25,20,80,4000
Ajo,1969,General Donovan,3,2,8,4000
Ajo,1969,Libertador General San Martin,35,30,120,4000
Ajo,1969,Mayor Luis J. Fontana,4,4,16,4000
Ajo,1969,Presidencia de la Plaza,8,6,24,4000
Ajo,1969,Quitilipi,35,30,120,4000
Ajo,1969,San Fernando,4,4,16,4000
