cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
soja,1941,Cainguás,300,200,140,700
soja,1941,Candelaria,100,100,100,1000
soja,1941,Iguazú,70,70,56,800
soja,1941,San Ignacio,100,100,70,700
soja,1941,San Javier,30,30,15,500
soja,1941,San Pedro,30,30,24,800
soja,1941,Belgrano,90,90,153,1700
soja,1941,Caseros,45,35,18,514
soja,1941,General López,80,65,32,492
soja,1941,Iriondo,70,70,112,1600
soja,1941,Rosario,180,130,260,2000
soja,1941,San Jerónimo,50,20,30,1500
soja,1941,San Lorenzo,60,60,95,1583
soja,1941,Villa Constitución,50,50,100,2000
soja,1941,Belgrano,60,60,36,600
soja,1942,25 de Mayo,20,20,16,800
soja,1942,9 de Julio,40,30,15,500
soja,1942,Adolfo Alsina,5,0,0,0
soja,1942,Azul,5,5,2,400
soja,1942,Bragado,10,7,3,429
soja,1942,Carlos Tejedor,80,10,1,100
soja,1942,Castelli,28,0,0,0
soja,1942,Colón,320,320,320,1000
soja,1942,Coronel Dorrego,6,0,0,0
soja,1942,Esteban Echeverría,4,4,4,1000
soja,1942,General Juan Madariaga,10,0,0,0
soja,1942,General Pinto,1,0,0,0
soja,1942,General Viamonte,220,150,75,500
soja,1942,General Villegas,10,1,0,0
soja,1942,Lincoln,3,0,0,0
soja,1942,Lomas de Zamora,8,8,7,875
soja,1942,Maipú,2,0,0,0
soja,1942,Navarro,15,15,13,867
soja,1942,Necochea,50,0,0,0
soja,1942,Pergamino,180,180,180,1000
soja,1942,Puán,40,0,0,0
soja,1942,Quilmes,2,2,2,1000
soja,1942,Rauch,30,30,15,500
soja,1942,Rojas,150,150,150,1000
soja,1942,Roque Pérez,50,50,40,800
soja,1942,Saavedra,1,0,0,0
soja,1942,Tornquist,22,0,0,0
soja,1942,Villarino,100,0,0,0
soja,1942,Campo del Cielo,26,12,3,250
soja,1942,General Belgrano,19,0,0,0
soja,1942,General Güemes,5,0,0,0
soja,1942,Empedrado,2,1,1,1000
soja,1942,General Paz,8,5,4,800
soja,1942,Ituzaingó,8,7,3,429
soja,1942,Saladas,1,1,1,1000
soja,1942,San Cosme,1,1,1,1000
soja,1942,Concordia,120,80,32,400
soja,1942,Federación,50,30,12,400
soja,1942,Feliciano,4,2,1,500
