cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
trigo,1927,Adolfo Alsina,107000,105000.0,91350.0,870.0
trigo,1927,Adolfo Gonzales Chaves,42000,42000.0,39900.0,950.0
trigo,1927,Alberti,35000,35000.0,55735.0,1592.0
trigo,1927,Almirante Brown,15,15.0,24.0,1600.0
trigo,1927,Ayacucho,1000,970.0,523.0,540.0
trigo,1927,Azul,28000,28000.0,26600.0,950.0
trigo,1927,Bahía Blanca,85000,85000.0,47600.0,560.0
trigo,1927,Balcarce,27000,26000.0,14300.0,550.0
trigo,1927,Baradero,9500,9500.0,10640.0,1120.0
trigo,1927,Bartolome Mitre,9000,9000.0,9000.0,1000.0
trigo,1927,Benito Juárez,27000,25700.0,23387.0,910.0
trigo,1927,Bolívar,70000,70000.0,77000.0,1100.0
trigo,1927,Bragado,47000,47000.0,66975.0,1425.0
trigo,1927,Brandsen,300,300.0,240.0,800.0
trigo,1927,Campana,950,950.0,950.0,1000.0
trigo,1927,Carlos Casares,26000,26000.0,36400.0,1400.0
trigo,1927,Carlos Tejedor,30000,30000.0,30300.0,1010.0
trigo,1927,Carmen de Areco,3000,3000.0,3240.0,1080.0
trigo,1927,Castelli,600,500.0,405.0,810.0
trigo,1927,Colón,3000,3000.0,3600.0,1200.0
trigo,1927,Coronel Dorrego,204000,198800.0,145124.0,730.0
trigo,1927,Coronel Pringles,131500,128200.0,99996.0,780.0
trigo,1927,Coronel Suárez,122000,122000.0,114680.0,940.0
trigo,1927,Chacabuco,30000,30000.0,42000.0,1400.0
trigo,1927,Chascomús,1000,1000.0,920.0,920.0
trigo,1927,Chivilcoy,46000,46000.0,62560.0,1360.0
trigo,1927,Dolores,300,300.0,213.0,710.0
trigo,1927,Exaltación de la Cruz,5000,5000.0,6000.0,1200.0
trigo,1927,Florencio Varela,50,50.0,40.0,800.0
trigo,1927,General Alvarado,22000,21300.0,17040.0,800.0
trigo,1927,General Alvear,4500,4500.0,3825.0,850.0
trigo,1927,General Arenales,20200,20200.0,25460.0,1261.0
trigo,1927,General Belgrano,2150,1700.0,1445.0,850.0
trigo,1927,General Guido,200,200.0,200.0,1000.0
trigo,1927,General Juan Madariaga,80,80.0,60.0,750.0
trigo,1927,General La Madrid,17000,17000.0,17000.0,1000.0
trigo,1927,General Las Heras,55,55.0,93.0,1700.0
trigo,1927,General Paz,950,500.0,500.0,1000.0
trigo,1927,General Pinto,44000,44000.0,48400.0,1100.0
trigo,1927,General Pueyrredón,18000,17300.0,11418.0,660.0
trigo,1927,General Rodríguez,1050,1050.0,1050.0,1000.0
trigo,1927,General Viamonte,35000,35000.0,51100.0,1460.0
trigo,1927,General Villegas,66000,66000.0,57090.0,865.0
trigo,1927,Guaminí,50000,50000.0,55000.0,1100.0
trigo,1927,General Sarmiento,530,530.0,795.0,1500.0
trigo,1927,Junín,38000,38000.0,49400.0,1300.0
trigo,1927,La Plata,2500,2500.0,3000.0,1200.0
trigo,1927,Laprida,6500,6500.0,6045.0,930.0
trigo,1927,Las Flores,600,600.0,501.0,835.0
trigo,1927,Leandro N. Alem,9000,9000.0,9990.0,1110.0
trigo,1927,Lincoln,70000,70000.0,88200.0,1260.0
trigo,1927,Lobería,32100,28900.0,17051.0,590.0
trigo,1927,Lobos,3600,3600.0,4140.0,1150.0
trigo,1927,Luján,6680,6680.0,8016.0,1200.0
trigo,1927,Magdalena,13000,11500.0,14145.0,1230.0
trigo,1927,Maipú,300,300.0,300.0,1000.0
trigo,1927,Mar Chiquita,7710,7710.0,4626.0,600.0
trigo,1927,Marcos Paz,130,130.0,104.0,800.0
trigo,1927,Mercedes,1700,1700.0,2108.0,1240.0
trigo,1927,Merlo,100,100.0,100.0,1000.0
trigo,1927,Monte,1000,1000.0,650.0,650.0
trigo,1927,Navarro,3500,3500.0,4025.0,1150.0
trigo,1927,Necochea,148000,143480.0,115400.0,804.0
trigo,1927,9 de Julio,56000,56000.0,84000.0,1500.0
trigo,1927,Olavarría,40000,40000.0,40000.0,1000.0
trigo,1927,Patagones,62000,54000.0,18360.0,340.0
trigo,1927,Pehuajó,60000,60000.0,80400.0,1340.0
trigo,1927,Pellegrini,71000,71000.0,71710.0,1010.0
trigo,1927,Pergamino,9000,9000.0,9990.0,1110.0
trigo,1927,Pila,200,200.0,180.0,900.0
trigo,1927,Pilar,2720,2720.0,3400.0,1250.0
trigo,1927,Puán,218000,207000.0,155250.0,750.0
trigo,1927,Ramallo,500,500.0,550.0,1100.0
trigo,1927,Rauch,2500,2350.0,940.0,400.0
trigo,1927,Rivadavia,59000,59000.0,57230.0,970.0
trigo,1927,Rojas,15000,15000.0,18000.0,1200.0
trigo,1927,Roque Pérez,4500,4500.0,4500.0,1000.0
trigo,1927,Saavedra,112900,109000.0,81750.0,750.0
trigo,1927,Saladillo,25000,25000.0,31250.0,1250.0
trigo,1927,Salto,6500,6500.0,6890.0,1060.0
trigo,1927,San Andrés de Giles,10000,10000.0,11950.0,1195.0
trigo,1927,San Antonio de Areco,7500,7500.0,8150.0,1087.0
trigo,1927,San Nicolás,1300,1300.0,1430.0,1100.0
