departamento_nombre,latitude,longitude,organic_carbon,ph,clay,silt,sand,coords
Lago Argentino,-49.66600037,-72.81749725,9.7,7.2,20.0,7.0,73.0,"(-72.81749725, -49.66600037)"
Lago Argentino,-49.66600037,-72.81749725,11.9,7.3,53.0,5.0,42.0,"(-72.81749725, -49.66600037)"
Lago Argentino,-49.66600037,-72.81749725,14.0,7.8,54.0,5.0,41.0,"(-72.81749725, -49.66600037)"
Lago Argentino,-49.66600037,-72.81749725,6.8,8.1,39.0,7.0,54.0,"(-72.81749725, -49.66600037)"
Jáchal,-30.76000023,-68.76000214,5.0,8.6,15.0,31.0,54.0,"(-68.76000214, -30.76000023)"
El Cuy,-39.08000183,-67.52999878,2.0,7.9,17.0,27.0,56.0,"(-67.52999878, -39.08000183)"
El Cuy,-39.08000183,-67.52999878,2.0,7.7,15.0,20.0,65.0,"(-67.52999878, -39.08000183)"
El Cuy,-39.08000183,-67.52999878,3.0,7.8,12.0,21.0,67.0,"(-67.52999878, -39.08000183)"
El Cuy,-39.08000183,-67.52999878,4.0,7.7,11.0,20.0,69.0,"(-67.52999878, -39.08000183)"
Figueroa,-27.29999924,-63.51660156,22.1,7.3,25.0,45.0,30.0,"(-63.51660156, -27.29999924)"
Figueroa,-27.29999924,-63.51660156,8.3,7.9,45.0,33.0,22.0,"(-63.51660156, -27.29999924)"
Figueroa,-27.29999924,-63.51660156,4.3,7.4,61.0,31.0,8.0,"(-63.51660156, -27.29999924)"
Figueroa,-27.71665955,-63.5,20.5,7.9,11.0,63.0,26.0,"(-63.5, -27.71665955)"
Figueroa,-27.71665955,-63.5,3.6,8.2,9.0,65.0,26.0,"(-63.5, -27.71665955)"
Figueroa,-27.71665955,-63.5,2.0,7.9,8.0,34.0,54.0,"(-63.5, -27.71665955)"
Patagones,-39.97999954,-63.24000168,5.6,7.6,14.0,21.0,65.0,"(-63.24000168, -39.97999954)"
Patagones,-39.97999954,-63.24000168,2.3,8.5,20.0,20.0,60.0,"(-63.24000168, -39.97999954)"
Patagones,-39.97999954,-63.24000168,2.6,8.3,16.0,14.0,70.0,"(-63.24000168, -39.97999954)"
Alberdi,-26.75,-62.83330154,15.0,7.1,14.0,48.0,38.0,"(-62.83330154, -26.75)"
Alberdi,-26.75,-62.83330154,9.9,7.3,29.0,51.0,20.0,"(-62.83330154, -26.75)"
Alberdi,-26.75,-62.83330154,5.3,7.4,2.0,35.0,63.0,"(-62.83330154, -26.75)"
Tres Arroyos,-38.68999863,-59.86999893,12.9,6.3,23.0,25.0,52.0,"(-59.86999893, -38.68999863)"
Tres Arroyos,-38.68999863,-59.86999893,3.9,6.4,19.0,24.0,57.0,"(-59.86999893, -38.68999863)"
Tres Arroyos,-38.68999863,-59.86999893,1.7,6.7,12.0,24.0,64.0,"(-59.86999893, -38.68999863)"
Tres Arroyos,-38.68999863,-59.86999893,0.4,8.1,10.0,21.0,69.0,"(-59.86999893, -38.68999863)"
Dolores,-36.43360138,-57.42829895,106.7,6.5,51.0,36.0,13.0,"(-57.42829895, -36.43360138)"
Dolores,-36.43360138,-57.42829895,31.0,7.7,55.0,33.0,12.0,"(-57.42829895, -36.43360138)"
Dolores,-36.43360138,-57.42829895,17.0,8.6,43.0,38.0,19.0,"(-57.42829895, -36.43360138)"
Dolores,-36.43360138,-57.42829895,4.8,8.8,32.0,39.0,29.0,"(-57.42829895, -36.43360138)"
Dolores,-36.43360138,-57.42829895,4.0,8.9,43.0,47.0,10.0,"(-57.42829895, -36.43360138)"
Rojas,-34.22638889,-60.82222222,20.3,6.0,24.0,59.0,17.0,"(-60.82222222, -34.22638889)"
Rojas,-34.22638889,-60.82222222,10.5,6.1,27.0,57.0,16.0,"(-60.82222222, -34.22638889)"
Rojas,-34.22638889,-60.82222222,6.0,6.3,35.0,48.0,17.0,"(-60.82222222, -34.22638889)"
Rojas,-34.22638889,-60.82222222,4.5,6.4,31.0,49.0,20.0,"(-60.82222222, -34.22638889)"
Rojas,-34.22638889,-60.82222222,2.8,6.4,21.0,52.0,27.0,"(-60.82222222, -34.22638889)"
Rojas,-34.22638889,-60.82222222,1.1,6.5,12.0,60.0,28.0,"(-60.82222222, -34.22638889)"
Pergamino,-33.75416667,-60.80833333,12.9,6.0,38.0,56.0,6.0,"(-60.80833333, -33.75416667)"
Pergamino,-33.75416667,-60.80833333,6.9,6.4,33.0,62.0,5.0,"(-60.80833333, -33.75416667)"
