departamento_nombre,coords,organic_carbon,ph,clay,silt,sand
1° de Mayo,"(-58.93333299999999, -27.325)",8.75,,21.6,22.4,56.4
25 de Mayo,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
9 de Julio,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.333333333333332,35.26923076923077,41.52564102564103
Adolfo Alsina,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
Adolfo Gonzales Chaves,"(-60.29572520000001, -37.957004132)",13.959999999999999,8.14,33.8,30.8,35.6
Aguirre,"(-62.49596035714285, -29.32109964285715)",10.228571428571428,,28.454545454545453,49.81818181818182,21.818181818181817
Albardón,"(-68.3878, -31.2156)",1.4,8.45,8.0,4.5,87.5
Alberdi,"(-62.19813817030304, -26.533770666666666)",10.55,7.025714285714286,15.181818181818182,49.93939393939394,34.84848484848485
Alberti,"(-60.38884175, -34.98288008437499)",10.24375,6.6290000000000004,21.09090909090909,34.90909090909091,44.09090909090909
Aluminé,"(-71.11848745652173, -39.152083543478255)",88.95813953488373,6.029999999999999,7.387096774193548,30.35483870967742,62.54838709677419
Andalgalá,"(-66.05, -27.6)",1.0,8.3,2.0,30.75,67.25
Anta,"(-64.11701215658371, -25.041284130462575)",7.364412811387901,7.337142857142857,22.234875444839858,41.99288256227758,36.4963768115942
Apóstoles,"(-55.72893340909093, -27.928929136363628)",20.331818181818182,4.968999999999999,61.38095238095238,27.333333333333332,11.380952380952381
Arrecifes,"(-60.05501823014284, -33.99178255571427)",8.405755395683453,7.0632142857142854,29.409448818897637,58.24409448818898,12.48031496062992
Atamisqui,"(-64.01, -28.783333333333328)",7.633333333333334,6.6000000000000005,22.11111111111111,26.11111111111111,51.77777777777778
Atreucó,"(-63.695238142857136, -37.12619028571429)",4.871428571428572,7.266666666666667,12.666666666666666,19.0,68.33333333333333
Avellaneda,"(-66.02814601914288, -37.70580970485714)",3.7676470588235293,7.720000000000001,12.911764705882353,24.352941176470587,62.794117647058826
Ayacucho,"(-63.42857571237114, -34.07297686597939)",5.851648351648351,8.311752577319588,21.666666666666668,32.34615384615385,46.1025641025641
Azul,"(-59.748236599999984, -36.93456029999999)",15.677777777777777,7.609999999999999,29.94736842105263,32.473684210526315,37.8421052631579
Añelo,"(-68.28467416666666, -38.627206666666666)",19.599999999999998,7.8999999999999995,21.666666666666668,26.5,51.833333333333336
Bahía Blanca,"(-62.14805553846155, -38.73302107692308)",8.023076923076923,8.615384615384615,23.3,25.8,50.9
Balcarce,"(-58.23503358799999, -37.81833295846153)",14.89298245614035,7.418461538461538,24.876923076923077,32.6,42.69230769230769
Baradero,"(-59.55112921326316, -34.02387045578948)",8.727368421052631,6.741052631578947,35.42696629213483,55.674157303370784,8.944444444444445
Bariloche,"(-71.56149923255812, -41.51544530232556)",31.60238095238095,6.425,9.578947368421053,34.973684210526315,55.60526315789474
